주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,1535.0,2293.0,861.0,6900.0,8248.0,8792.0,9178.0,9491.0
영업이익,1196.0,1882.0,440.0,2616.0,1993.0,2394.0,2630.0,2756.0
영업이익(발표기준),1196.0,1882.0,1816.0,2616.0,1993.0,,,
세전계속사업이익,1793.0,2021.0,505.0,3019.0,2091.0,2526.0,2774.0,2922.0
당기순이익,1602.0,1838.0,411.0,2695.0,1790.0,2179.0,2398.0,2526.0
당기순이익(지배),1602.0,1838.0,411.0,2615.0,1695.0,2103.0,2315.0,2437.0
당기순이익(비지배),,,,79.0,94.0,,,
자산총계,23532.0,25064.0,22508.0,30975.0,32525.0,34606.0,36815.0,39145.0
부채총계,818.0,913.0,799.0,2281.0,2564.0,2748.0,2801.0,2861.0
자본총계,22713.0,24151.0,21709.0,28694.0,29961.0,31858.0,34013.0,36284.0
자본총계(지배),22713.0,24151.0,21709.0,28034.0,29211.0,31035.0,33108.0,35291.0
자본총계(비지배),,,,659.0,750.0,,,
자본금,465.0,465.0,465.0,465.0,465.0,466.0,466.0,466.0
영업활동현금흐름,176.0,489.0,419.0,858.0,1229.0,1365.0,1848.0,1930.0
투자활동현금흐름,-213.0,1195.0,-1012.0,749.0,-2129.0,-511.0,-700.0,-732.0
재무활동현금흐름,-108.0,-275.0,-275.0,-605.0,-60.0,-156.0,-292.0,-297.0
CAPEX,21.0,3.0,2.0,110.0,232.0,181.0,173.0,176.0
FCF,154.0,486.0,417.0,749.0,997.0,1123.0,1307.0,1403.0
이자발생부채,,,,295.0,500.0,,,
영업이익률,77.89,82.1,51.1,37.91,24.16,27.22,28.65,29.04
순이익률,104.32,80.18,47.72,39.05,21.7,24.79,26.14,26.62
ROE(%),10.34,7.85,1.79,,5.92,6.98,7.22,7.12
ROA(%),9.63,7.57,1.73,,5.64,6.49,6.72,6.65
부채비율,3.6,3.78,3.68,7.95,8.56,8.63,8.24,7.89
자본유보율,4861.64,5187.02,4588.2,5991.64,6312.48,,,
EPS(원),2659.0,1976.0,442.0,2812.0,1823.0,2261.0,2489.0,2620.0
PER(배),8.29,12.37,39.64,7.38,10.37,8.05,7.31,6.95
BPS(원),24770.0,26339.0,23675.0,30573.0,31856.0,33846.0,36107.0,38487.0
PBR(배),0.89,0.93,0.74,0.68,0.59,0.54,0.5,0.47
현금DPS(원),300.0,300.0,300.0,300.0,300.0,300.0,312.0,325.0
현금배당수익률,1.36,1.23,1.71,1.45,1.59,1.65,1.72,1.79
현금배당성향(%),17.18,14.96,66.98,10.52,16.23,0.13,0.13,0.12
발행주식수(보통주),93020173.0,93020173.0,93020173.0,93020173.0,93020173.0,,,
