주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1004.0,1064.0,1067.0,1130.0,1182.0,,,
영업이익,19.0,-26.0,80.0,116.0,90.0,,,
영업이익(발표기준),19.0,-26.0,80.0,116.0,90.0,,,
세전계속사업이익,19.0,-19.0,81.0,121.0,96.0,,,
당기순이익,17.0,-11.0,67.0,94.0,80.0,,,
당기순이익(지배),17.0,-11.0,67.0,94.0,80.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1755.0,1651.0,1706.0,1809.0,1795.0,,,
부채총계,516.0,432.0,433.0,457.0,374.0,,,
자본총계,1239.0,1218.0,1274.0,1352.0,1420.0,,,
자본총계(지배),1239.0,1218.0,1274.0,1352.0,1420.0,,,
자본총계(비지배),,,,,,,,
자본금,131.0,131.0,131.0,131.0,131.0,,,
영업활동현금흐름,109.0,112.0,143.0,155.0,204.0,,,
투자활동현금흐름,-46.0,-34.0,-120.0,-111.0,-126.0,,,
재무활동현금흐름,-131.0,-79.0,-23.0,1.0,-69.0,,,
CAPEX,41.0,29.0,119.0,108.0,85.0,,,
FCF,68.0,84.0,24.0,48.0,120.0,,,
이자발생부채,172.0,103.0,86.0,116.0,60.0,,,
영업이익률,1.94,-2.48,7.54,10.28,7.64,,,
순이익률,1.65,-1.04,6.24,8.35,6.78,,,
ROE(%),1.34,-0.9,5.34,7.19,5.78,,,
ROA(%),0.92,-0.65,3.96,5.37,4.45,,,
부채비율,41.68,35.47,33.97,33.85,26.36,,,
자본유보율,860.05,844.53,886.84,946.41,999.05,,,
EPS(원),317.0,-211.0,1272.0,1804.0,1533.0,,,
PER(배),50.48,-104.11,21.69,13.05,13.93,,,
BPS(원),24149.0,23754.0,24832.0,26351.0,27692.0,,,
PBR(배),0.66,0.93,1.11,0.89,0.77,,,
현금DPS(원),100.0,100.0,350.0,400.0,400.0,,,
현금배당수익률,0.63,0.45,1.27,1.7,1.87,,,
현금배당성향(%),30.95,-46.42,26.98,21.75,25.6,,,
발행주식수(보통주),5229489.0,5229489.0,5229489.0,5229489.0,5229489.0,,,
