주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3518.0,3399.0,2745.0,2298.0,2546.0,,,
영업이익,-2.0,-90.0,-97.0,-35.0,69.0,,,
영업이익(발표기준),-2.0,-90.0,-97.0,-35.0,69.0,,,
세전계속사업이익,-20.0,-193.0,-149.0,10.0,-89.0,,,
당기순이익,-25.0,-185.0,-139.0,11.0,-103.0,,,
당기순이익(지배),-16.0,-181.0,-133.0,8.0,-109.0,,,
당기순이익(비지배),-9.0,-4.0,-6.0,3.0,6.0,,,
자산총계,2913.0,2261.0,2228.0,2120.0,2517.0,,,
부채총계,2099.0,1436.0,1425.0,1147.0,1550.0,,,
자본총계,814.0,825.0,803.0,973.0,967.0,,,
자본총계(지배),769.0,720.0,710.0,877.0,866.0,,,
자본총계(비지배),46.0,105.0,93.0,96.0,101.0,,,
자본금,360.0,360.0,417.0,584.0,584.0,,,
영업활동현금흐름,131.0,-156.0,170.0,47.0,123.0,,,
투자활동현금흐름,10.0,190.0,-119.0,8.0,-156.0,,,
재무활동현금흐름,-117.0,-125.0,99.0,-200.0,26.0,,,
CAPEX,109.0,138.0,147.0,20.0,35.0,,,
FCF,23.0,-295.0,23.0,27.0,87.0,,,
이자발생부채,1508.0,1127.0,1110.0,891.0,1238.0,,,
영업이익률,-0.05,-2.65,-3.54,-1.52,2.73,,,
순이익률,-0.71,-5.44,-5.07,0.5,-4.06,,,
ROE(%),-2.11,-24.37,-18.56,1.03,-12.5,,,
ROA(%),-0.84,-7.15,-6.2,0.53,-4.45,,,
부채비율,257.74,174.07,177.39,117.92,160.21,,,
자본유보율,119.09,106.52,76.48,54.58,43.47,,,
EPS(원),-21.0,-228.0,-167.0,8.0,-93.0,,,
PER(배),-29.22,-2.38,-6.32,105.68,-6.94,,,
BPS(원),989.0,926.0,787.0,762.0,753.0,,,
PBR(배),0.61,0.59,1.34,1.17,0.86,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),79411792.0,79411792.0,91956911.0,116725477.0,116725477.0,,,
