주요재무정보,2013,2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,28786.0,23691.0,20019.0,17199.0,18344.0,23860.0,24525.0,24702.0
영업이익,2297.0,856.0,2099.0,1617.0,1198.0,1189.0,1171.0,1396.0
영업이익(발표기준),2297.0,856.0,2099.0,1617.0,1198.0,,,
세전계속사업이익,1374.0,124.0,1431.0,1393.0,836.0,558.0,697.0,931.0
당기순이익,1158.0,663.0,1158.0,1267.0,699.0,527.0,547.0,735.0
당기순이익(지배),1150.0,663.0,1158.0,1267.0,699.0,527.0,547.0,735.0
당기순이익(비지배),8.0,,,,,,,
자산총계,50079.0,47416.0,48438.0,51338.0,57216.0,58768.0,59543.0,60472.0
부채총계,34074.0,31084.0,31222.0,33288.0,38919.0,40408.0,40896.0,41377.0
자본총계,16005.0,16331.0,17217.0,18050.0,18297.0,18366.0,18659.0,19107.0
자본총계(지배),16000.0,16331.0,17217.0,18050.0,18297.0,18366.0,18659.0,19107.0
자본총계(비지배),5.0,,,,,,,
자본금,579.0,579.0,579.0,579.0,579.0,579.0,579.0,579.0
영업활동현금흐름,4841.0,3179.0,3570.0,3125.0,4454.0,3733.0,2811.0,3350.0
투자활동현금흐름,-4013.0,-2372.0,-3641.0,-4774.0,-6519.0,-3382.0,-2640.0,-3140.0
재무활동현금흐름,-828.0,-1157.0,105.0,1665.0,2346.0,1433.0,1193.0,926.0
CAPEX,3895.0,2521.0,4337.0,5220.0,6770.0,3151.0,2654.0,3134.0
FCF,946.0,658.0,-767.0,-2095.0,-2316.0,420.0,-472.0,-198.0
이자발생부채,25391.0,21468.0,21900.0,23994.0,26788.0,,,
영업이익률,7.98,3.61,10.49,9.4,6.53,4.98,4.78,5.65
순이익률,4.02,2.8,5.79,7.37,3.81,2.21,2.23,2.98
ROE(%),7.36,4.07,6.91,7.19,3.84,2.88,2.96,3.89
ROA(%),2.34,1.41,2.42,2.54,1.29,0.91,0.93,1.23
부채비율,212.89,190.34,181.35,184.42,212.7,220.02,219.18,216.56
자본유보율,2666.33,2722.48,2873.82,3018.02,3060.67,,,
EPS(원),9931.0,5726.0,10003.0,10943.0,6035.0,4552.0,4725.0,6349.0
PER(배),8.66,9.81,5.76,6.22,12.1,14.28,13.76,10.24
BPS(원),138186.0,141046.0,148691.0,155889.0,158025.0,158619.0,161145.0,165017.0
PBR(배),0.62,0.4,0.39,0.44,0.46,0.41,0.4,0.39
현금DPS(원),2990.0,2110.0,3620.0,3800.0,2820.0,1752.0,2112.0,2820.0
현금배당수익률,3.48,3.75,6.28,5.58,3.86,2.7,3.25,4.34
현금배당성향(%),30.11,36.85,36.19,34.73,46.73,0.38,0.45,0.44
발행주식수(보통주),11578744.0,11578744.0,11578744.0,11578744.0,11578744.0,,,
