주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,5010.0,5786.0,5679.0,5605.0,5550.0,,,
영업이익,398.0,494.0,539.0,148.0,239.0,,,
영업이익(발표기준),398.0,494.0,554.0,148.0,239.0,,,
세전계속사업이익,169.0,457.0,625.0,6.0,-83.0,,,
당기순이익,-657.0,376.0,486.0,106.0,-54.0,,,
당기순이익(지배),-657.0,374.0,486.0,106.0,-54.0,,,
당기순이익(비지배),0.0,1.0,0.0,0.0,,,,
자산총계,9317.0,10819.0,10635.0,10666.0,8997.0,,,
부채총계,4924.0,5935.0,5098.0,4774.0,3185.0,,,
자본총계,4394.0,4883.0,5538.0,5892.0,5812.0,,,
자본총계(지배),4388.0,4881.0,5536.0,5892.0,5812.0,,,
자본총계(비지배),5.0,3.0,2.0,,,,,
자본금,368.0,385.0,402.0,422.0,422.0,,,
영업활동현금흐름,-142.0,847.0,424.0,19.0,512.0,,,
투자활동현금흐름,-283.0,-283.0,210.0,458.0,-21.0,,,
재무활동현금흐름,-97.0,1005.0,-704.0,-647.0,-1253.0,,,
CAPEX,322.0,296.0,283.0,206.0,107.0,,,
FCF,-464.0,552.0,141.0,-187.0,405.0,,,
이자발생부채,3551.0,4487.0,3726.0,2927.0,1803.0,,,
영업이익률,7.94,8.53,9.48,2.65,4.3,,,
순이익률,-13.12,6.49,8.55,1.9,-0.97,,,
ROE(%),,8.07,9.32,1.86,-0.92,,,
ROA(%),,3.73,4.53,1.0,-0.55,,,
부채비율,112.06,121.54,92.05,81.02,54.81,,,
자본유보율,595.36,699.33,881.05,917.23,900.72,,,
EPS(원),-11620.0,4858.0,6187.0,1267.0,-639.0,,,
PER(배),-8.56,18.88,23.76,83.27,-155.87,,,
BPS(원),57006.0,63404.0,68932.0,69818.0,68875.0,,,
PBR(배),1.75,1.45,2.13,1.51,1.45,,,
현금DPS(원),250.0,750.0,1000.0,500.0,500.0,517.0,525.0,533.0
현금배당수익률,0.25,0.82,0.68,0.47,0.5,0.5,0.51,0.52
현금배당성향(%),-3.33,15.43,16.54,39.7,-78.2,,,
발행주식수(보통주),7350916.0,7701936.0,8035805.0,8443868.0,8443868.0,,,
