주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3570.0,3874.0,4491.0,4978.0,4966.0,,,
영업이익,527.0,317.0,557.0,869.0,471.0,,,
영업이익(발표기준),527.0,317.0,557.0,869.0,471.0,,,
세전계속사업이익,499.0,276.0,514.0,843.0,474.0,,,
당기순이익,489.0,256.0,476.0,794.0,407.0,,,
당기순이익(지배),488.0,256.0,476.0,794.0,406.0,,,
당기순이익(비지배),1.0,0.0,0.0,0.0,0.0,,,
자산총계,10273.0,10345.0,10847.0,11719.0,11453.0,,,
부채총계,2994.0,2943.0,3052.0,3304.0,2821.0,,,
자본총계,7280.0,7402.0,7795.0,8415.0,8633.0,,,
자본총계(지배),7268.0,7390.0,7783.0,8402.0,8620.0,,,
자본총계(비지배),12.0,12.0,12.0,12.0,13.0,,,
자본금,232.0,232.0,232.0,232.0,232.0,,,
영업활동현금흐름,-58.0,348.0,48.0,171.0,588.0,,,
투자활동현금흐름,-147.0,-309.0,-61.0,-125.0,4.0,,,
재무활동현금흐름,244.0,-81.0,2.0,-1.0,-606.0,,,
CAPEX,293.0,274.0,53.0,53.0,68.0,,,
FCF,-350.0,74.0,-5.0,118.0,520.0,,,
이자발생부채,1244.0,1260.0,1356.0,1449.0,937.0,,,
영업이익률,14.76,8.18,12.4,17.45,9.48,,,
순이익률,13.69,6.62,10.6,15.95,8.2,,,
ROE(%),6.89,3.5,6.27,9.81,4.78,,,
ROA(%),4.9,2.49,4.49,7.04,3.51,,,
부채비율,41.12,39.76,39.15,39.27,32.67,,,
자본유보율,3036.47,3079.97,3237.52,3521.41,3654.99,,,
EPS(원),10516.0,5530.0,10264.0,17111.0,8764.0,,,
PER(배),7.51,18.81,15.0,7.04,13.06,,,
BPS(원),156712.0,159349.0,167826.0,181174.0,185858.0,,,
PBR(배),0.5,0.65,0.92,0.67,0.62,,,
현금DPS(원),2000.0,2000.0,2000.0,2000.0,2000.0,,,
현금배당수익률,2.53,1.92,1.3,1.66,1.75,,,
현금배당성향(%),19.02,36.16,19.49,11.69,22.82,,,
발행주식수(보통주),4637790.0,4637790.0,4637790.0,4637790.0,4637790.0,,,
