주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1543.0,1563.0,1617.0,1737.0,1646.0,,,
영업이익,72.0,65.0,56.0,59.0,66.0,,,
영업이익(발표기준),72.0,65.0,56.0,59.0,66.0,,,
세전계속사업이익,81.0,44.0,46.0,56.0,59.0,,,
당기순이익,64.0,33.0,26.0,54.0,46.0,,,
당기순이익(지배),64.0,33.0,26.0,54.0,46.0,,,
당기순이익(비지배),,,,,,,,
자산총계,813.0,1012.0,936.0,1197.0,1202.0,,,
부채총계,367.0,539.0,436.0,645.0,602.0,,,
자본총계,445.0,473.0,500.0,553.0,601.0,,,
자본총계(지배),445.0,473.0,500.0,553.0,601.0,,,
자본총계(비지배),,,,,,,,
자본금,181.0,181.0,181.0,181.0,181.0,,,
영업활동현금흐름,99.0,-84.0,312.0,-55.0,156.0,,,
투자활동현금흐름,-31.0,-34.0,-210.0,-84.0,-111.0,,,
재무활동현금흐름,-70.0,126.0,-99.0,131.0,-46.0,,,
CAPEX,39.0,41.0,225.0,95.0,110.0,,,
FCF,60.0,-125.0,87.0,-150.0,46.0,,,
이자발생부채,144.0,281.0,189.0,332.0,290.0,,,
영업이익률,4.67,4.13,3.49,3.37,3.98,,,
순이익률,4.15,2.09,1.58,3.09,2.79,,,
ROE(%),15.35,7.13,5.24,10.21,7.96,,,
ROA(%),7.76,3.59,2.62,5.04,3.83,,,
부채비율,82.52,113.8,87.15,116.59,100.18,,,
자본유보율,149.88,164.23,180.21,209.45,236.16,,,
EPS(원),177.0,91.0,71.0,149.0,127.0,,,
PER(배),14.06,27.32,49.4,23.33,22.63,,,
BPS(원),1232.0,1310.0,1384.0,1530.0,1662.0,,,
PBR(배),2.02,1.89,2.52,2.27,1.73,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),35930773.0,35930773.0,35930773.0,35930773.0,35930773.0,,,
