주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1369.0,1552.0,1620.0,1769.0,1970.0,2112.0,2318.0,2524.0
영업이익,148.0,220.0,229.0,271.0,317.0,337.0,403.0,444.0
영업이익(발표기준),148.0,220.0,229.0,271.0,317.0,,,
세전계속사업이익,156.0,228.0,248.0,275.0,285.0,379.0,417.0,456.0
당기순이익,122.0,185.0,217.0,195.0,279.0,304.0,327.0,358.0
당기순이익(지배),122.0,184.0,217.0,195.0,279.0,304.0,327.0,358.0
당기순이익(비지배),0.0,1.0,0.0,,,,,
자산총계,1935.0,2171.0,2305.0,2342.0,2658.0,2902.0,3199.0,3536.0
부채총계,521.0,553.0,585.0,568.0,641.0,634.0,653.0,686.0
자본총계,1414.0,1618.0,1720.0,1774.0,2017.0,2267.0,2545.0,2850.0
자본총계(지배),1414.0,1618.0,1720.0,1774.0,2017.0,2267.0,2545.0,2850.0
자본총계(비지배),0.0,0.0,,,,,,
자본금,77.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
영업활동현금흐름,190.0,213.0,260.0,300.0,277.0,414.0,409.0,472.0
투자활동현금흐름,-49.0,-201.0,-262.0,-140.0,-355.0,-302.0,-243.0,-198.0
재무활동현금흐름,-42.0,34.0,-84.0,-211.0,1.0,-79.0,-56.0,-52.0
CAPEX,120.0,80.0,173.0,118.0,263.0,274.0,215.0,165.0
FCF,69.0,133.0,86.0,182.0,14.0,146.0,228.0,380.0
이자발생부채,238.0,248.0,279.0,212.0,252.0,,,
영업이익률,10.84,14.17,14.14,15.33,16.1,15.95,17.39,17.58
순이익률,8.91,11.91,13.4,11.03,14.14,14.41,14.12,14.17
ROE(%),8.88,12.12,13.11,11.17,14.7,14.2,13.6,13.26
ROA(%),6.4,9.0,9.77,8.4,11.14,10.95,10.73,10.62
부채비율,36.84,34.15,34.02,32.04,31.79,27.95,25.65,24.07
자본유보율,1748.96,1932.52,2161.28,2360.26,2658.42,,,
EPS(원),773.0,1141.0,1340.0,1204.0,1719.0,1877.0,2020.0,2207.0
PER(배),11.83,11.74,12.98,15.37,17.71,15.24,14.16,12.96
BPS(원),9131.0,10174.0,11164.0,11981.0,13622.0,15314.0,17192.0,19249.0
PBR(배),1.0,1.32,1.56,1.54,2.24,1.87,1.66,1.49
현금DPS(원),49.0,200.0,220.0,250.0,300.0,307.0,330.0,353.0
현금배당수익률,0.54,1.49,1.26,1.35,0.99,1.07,1.15,1.24
현금배당성향(%),6.22,17.31,15.6,18.97,15.94,0.16,0.16,0.16
발행주식수(보통주),15788622.0,16207322.0,16207322.0,16207322.0,16207322.0,,,
