주요재무정보,2013(GAAP개별),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3946.0,5679.0,4533.0,4274.0,2518.0,2304.0,2891.0,3475.0
영업이익,111.0,333.0,354.0,197.0,71.0,110.0,210.0,341.0
영업이익(발표기준),111.0,333.0,430.0,197.0,71.0,,,
세전계속사업이익,11.0,217.0,243.0,143.0,24.0,64.0,159.0,280.0
당기순이익,4.0,179.0,238.0,197.0,19.0,52.0,141.0,220.0
당기순이익(지배),4.0,153.0,198.0,141.0,19.0,48.0,124.0,220.0
당기순이익(비지배),,26.0,40.0,55.0,,,,
자산총계,3914.0,5218.0,5203.0,3658.0,3490.0,3898.0,4036.0,4198.0
부채총계,2898.0,3841.0,3500.0,2075.0,1920.0,2313.0,2333.0,2300.0
자본총계,1016.0,1377.0,1702.0,1584.0,1570.0,1587.0,1702.0,1898.0
자본총계(지배),1016.0,1171.0,1459.0,1584.0,1570.0,1587.0,1702.0,1898.0
자본총계(비지배),,206.0,243.0,,,,,
자본금,200.0,205.0,219.0,220.0,220.0,220.0,220.0,220.0
영업활동현금흐름,207.0,244.0,472.0,163.0,241.0,177.0,225.0,174.0
투자활동현금흐름,-63.0,-156.0,-243.0,109.0,-123.0,-106.0,-70.0,-78.0
재무활동현금흐름,-156.0,-23.0,-164.0,-270.0,-123.0,96.0,-50.0,-50.0
CAPEX,131.0,104.0,231.0,90.0,14.0,57.0,65.0,65.0
FCF,77.0,140.0,241.0,73.0,228.0,110.0,181.0,127.0
이자발생부채,2453.0,2987.0,2597.0,1751.0,1675.0,,,
영업이익률,2.8,5.86,7.81,4.62,2.83,4.8,7.27,9.81
순이익률,0.11,3.15,5.25,4.61,0.74,2.23,4.88,6.35
ROE(%),0.44,,15.06,9.3,1.18,3.06,7.54,12.25
ROA(%),0.11,,4.57,4.44,0.52,1.39,3.55,5.36
부채비율,285.37,278.9,205.6,130.98,122.27,145.75,137.03,121.15
자본유보율,408.28,470.75,564.66,620.67,614.29,,,
EPS(원),13.0,443.0,554.0,369.0,49.0,126.0,323.0,575.0
PER(배),0.0,,5.55,8.46,57.93,36.9,14.36,8.07
BPS(원),2952.0,3304.0,3810.0,4133.0,4092.0,4136.0,4437.0,4948.0
PBR(배),0.0,0.0,0.81,0.76,0.69,1.12,1.05,0.94
현금DPS(원),0.0,0.0,100.0,100.0,30.0,65.0,65.0,65.0
현금배당수익률,,,3.25,3.2,1.06,1.4,1.4,1.4
현금배당성향(%),0.0,0.0,19.33,27.09,61.64,0.52,0.2,0.11
발행주식수(보통주),34400000.0,35432000.0,38292720.0,38322720.0,38372720.0,,,
