주요재무정보,2013(IFRS별도),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,5355.0,5803.0,5317.0,5403.0,15607.0,13578.0,13960.0,14834.0
영업이익,1014.0,983.0,860.0,441.0,1009.0,1534.0,1747.0,1961.0
영업이익(발표기준),1014.0,983.0,860.0,441.0,1009.0,,,
세전계속사업이익,3838.0,543.0,404.0,351.0,1164.0,1072.0,1125.0,1344.0
당기순이익,3838.0,719.0,395.0,308.0,1092.0,997.0,1040.0,1247.0
당기순이익(지배),3838.0,717.0,389.0,298.0,1267.0,1147.0,1001.0,1354.0
당기순이익(비지배),,2.0,6.0,10.0,-175.0,,,
자산총계,12219.0,13007.0,15179.0,22045.0,25868.0,26663.0,27996.0,29439.0
부채총계,8184.0,8018.0,9486.0,15784.0,18990.0,18791.0,19081.0,19280.0
자본총계,4035.0,4989.0,5694.0,6260.0,6878.0,7872.0,8912.0,10159.0
자본총계(지배),4035.0,4932.0,5632.0,6066.0,6621.0,7765.0,8766.0,10119.0
자본총계(비지배),,57.0,62.0,194.0,258.0,,,
자본금,1198.0,1221.0,1221.0,1221.0,1221.0,1221.0,1221.0,1221.0
영업활동현금흐름,2105.0,1750.0,1383.0,1207.0,2273.0,3209.0,2488.0,2888.0
투자활동현금흐름,-26.0,-1068.0,-2513.0,-3743.0,-7767.0,-1242.0,-1731.0,-1537.0
재무활동현금흐름,-1773.0,-894.0,1138.0,2773.0,5231.0,1016.0,1457.0,1180.0
CAPEX,39.0,1099.0,2872.0,4287.0,7574.0,1152.0,1863.0,1630.0
FCF,2067.0,652.0,-1490.0,-3080.0,-5301.0,1455.0,324.0,1483.0
이자발생부채,7523.0,7035.0,8821.0,13930.0,16939.0,,,
영업이익률,18.93,16.94,16.18,8.16,6.46,11.3,12.51,13.22
순이익률,71.67,12.39,7.43,5.7,7.0,7.34,7.45,8.4
ROE(%),330.03,,7.37,5.1,19.97,15.95,12.11,14.34
ROA(%),29.06,,2.8,1.65,4.56,3.8,3.8,4.34
부채비율,202.79,160.72,166.6,252.14,276.08,238.69,214.11,189.79
자본유보율,89.45,89.01,120.8,144.66,248.85,,,
EPS(원),32453.0,2958.0,1594.0,1220.0,5186.0,4697.0,4097.0,5542.0
PER(배),0.79,7.91,11.92,14.1,4.41,5.01,5.75,4.25
BPS(원),16846.0,20199.0,23056.0,24834.0,27104.0,31791.0,35886.0,41428.0
PBR(배),1.53,1.16,0.82,0.69,0.84,0.74,0.66,0.57
현금DPS(원),0.0,0.0,0.0,0.0,,0.0,0.0,0.0
현금배당수익률,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),23955512.0,24416108.0,24426504.0,24426504.0,24426504.0,,,
