주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3053.0,3365.0,3630.0,3796.0,3845.0,,,
영업이익,261.0,266.0,360.0,309.0,359.0,,,
영업이익(발표기준),261.0,266.0,360.0,309.0,359.0,,,
세전계속사업이익,227.0,244.0,346.0,280.0,312.0,,,
당기순이익,178.0,189.0,274.0,202.0,241.0,,,
당기순이익(지배),169.0,199.0,262.0,195.0,230.0,,,
당기순이익(비지배),8.0,-10.0,12.0,7.0,11.0,,,
자산총계,2677.0,3013.0,3344.0,3531.0,3980.0,,,
부채총계,1676.0,1877.0,1950.0,1973.0,2266.0,,,
자본총계,1001.0,1136.0,1393.0,1558.0,1714.0,,,
자본총계(지배),961.0,1106.0,1354.0,1514.0,1663.0,,,
자본총계(비지배),40.0,29.0,40.0,44.0,52.0,,,
자본금,107.0,107.0,107.0,107.0,107.0,,,
영업활동현금흐름,287.0,134.0,387.0,324.0,298.0,,,
투자활동현금흐름,-242.0,-329.0,-378.0,-151.0,-499.0,,,
재무활동현금흐름,5.0,138.0,27.0,-131.0,374.0,,,
CAPEX,268.0,344.0,372.0,145.0,406.0,,,
FCF,19.0,-210.0,15.0,179.0,-108.0,,,
이자발생부채,1038.0,1202.0,1279.0,1185.0,1516.0,,,
영업이익률,8.54,7.92,9.91,8.14,9.35,,,
순이익률,5.81,5.63,7.54,5.32,6.28,,,
ROE(%),19.13,19.24,21.3,13.56,14.5,,,
ROA(%),7.08,6.65,8.62,5.87,6.43,,,
부채비율,167.46,165.28,139.98,126.61,132.16,,,
자본유보율,917.96,1045.67,1268.55,1429.48,1611.3,,,
EPS(원),789.0,926.0,1220.0,906.0,1073.0,,,
PER(배),7.18,6.95,6.04,7.49,7.08,,,
BPS(원),4963.0,5715.0,6993.0,7822.0,8587.0,,,
PBR(배),1.14,1.13,1.05,0.87,0.89,,,
현금DPS(원),140.0,160.0,170.0,160.0,170.0,,,
현금배당수익률,2.47,2.48,2.31,2.36,2.24,,,
현금배당성향(%),16.01,15.57,12.56,15.92,14.29,,,
발행주식수(보통주),21471450.0,21471450.0,21471450.0,21471450.0,21471450.0,,,
