주요재무정보,2013,2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1391.0,1317.0,1216.0,1176.0,1263.0,,,
영업이익,15.0,-11.0,26.0,-1.0,17.0,,,
영업이익(발표기준),15.0,-11.0,26.0,-1.0,17.0,,,
세전계속사업이익,-29.0,-126.0,-14.0,-24.0,52.0,,,
당기순이익,-26.0,-133.0,-10.0,-22.0,49.0,,,
당기순이익(지배),-26.0,-133.0,-10.0,-22.0,49.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1266.0,1103.0,900.0,870.0,883.0,,,
부채총계,931.0,847.0,660.0,648.0,614.0,,,
자본총계,336.0,256.0,240.0,222.0,269.0,,,
자본총계(지배),336.0,256.0,240.0,222.0,269.0,,,
자본총계(비지배),,,,,,,,
자본금,136.0,136.0,136.0,136.0,136.0,,,
영업활동현금흐름,159.0,-14.0,75.0,40.0,71.0,,,
투자활동현금흐름,-8.0,-3.0,-27.0,-20.0,-20.0,,,
재무활동현금흐름,-162.0,173.0,-196.0,-42.0,-29.0,,,
CAPEX,23.0,14.0,32.0,20.0,19.0,,,
FCF,135.0,-27.0,43.0,20.0,52.0,,,
이자발생부채,798.0,749.0,553.0,527.0,482.0,,,
영업이익률,1.1,-0.81,2.12,-0.08,1.37,,,
순이익률,-1.84,-10.08,-0.8,-1.88,3.86,,,
ROE(%),-7.79,-37.23,-3.94,-9.57,19.82,,,
ROA(%),-1.89,-11.99,-0.98,-2.5,5.56,,,
부채비율,277.25,331.34,274.74,291.45,227.88,,,
자본유보율,55.84,-20.09,-31.5,-44.66,-10.0,,,
EPS(원),-94.0,-489.0,-36.0,-82.0,180.0,,,
PER(배),-21.74,-2.25,-43.73,-20.73,6.46,,,
BPS(원),1240.0,964.0,906.0,839.0,1016.0,,,
PBR(배),1.65,1.14,1.74,2.02,1.14,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),27134839.0,27134839.0,27134839.0,27134839.0,27134839.0,,,
