주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,6967.0,7116.0,6890.0,6608.0,7259.0,,,
영업이익,459.0,484.0,145.0,363.0,307.0,,,
영업이익(발표기준),459.0,484.0,145.0,363.0,307.0,,,
세전계속사업이익,386.0,391.0,53.0,291.0,286.0,,,
당기순이익,296.0,296.0,38.0,219.0,198.0,,,
당기순이익(지배),296.0,296.0,38.0,219.0,198.0,,,
당기순이익(비지배),,,,,,,,
자산총계,6266.0,6304.0,5812.0,5677.0,5846.0,,,
부채총계,3308.0,3078.0,2567.0,2205.0,2195.0,,,
자본총계,2957.0,3226.0,3245.0,3472.0,3650.0,,,
자본총계(지배),2957.0,3226.0,3245.0,3472.0,3650.0,,,
자본총계(비지배),,,,,,,,
자본금,759.0,759.0,759.0,759.0,759.0,,,
영업활동현금흐름,366.0,449.0,461.0,722.0,515.0,,,
투자활동현금흐름,-219.0,-153.0,-115.0,-66.0,-168.0,,,
재무활동현금흐름,-102.0,-292.0,-351.0,-656.0,-243.0,,,
CAPEX,201.0,122.0,122.0,79.0,85.0,,,
FCF,165.0,327.0,339.0,643.0,430.0,,,
이자발생부채,2550.0,2292.0,1964.0,1332.0,1087.0,,,
영업이익률,6.59,6.8,2.11,5.5,4.24,,,
순이익률,4.24,4.16,0.55,3.31,2.72,,,
ROE(%),10.54,9.59,,6.51,5.55,,,
ROA(%),4.74,4.71,,3.81,3.43,,,
부채비율,111.87,95.41,79.1,63.52,60.14,,,
자본유보율,289.53,324.97,327.68,357.15,380.63,,,
EPS(원),1946.0,1951.0,250.0,1440.0,1301.0,,,
PER(배),6.63,8.66,38.93,8.61,8.99,,,
BPS(원),19471.0,21240.0,21364.0,22859.0,24033.0,,,
PBR(배),0.66,0.8,0.46,0.54,0.49,,,
현금DPS(원),0.0,100.0,0.0,100.0,100.0,,,
현금배당수익률,0.0,0.59,0.0,0.81,0.85,,,
현금배당성향(%),0.0,5.14,0.0,6.97,7.71,,,
발행주식수(보통주),15078811.0,15078811.0,15078811.0,15078811.0,15078811.0,,,
