주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,8506.0,8776.0,10145.0,8085.0,10995.0,13405.0,15162.0,17324.0
영업이익,590.0,710.0,454.0,727.0,762.0,1021.0,1218.0,1415.0
영업이익(발표기준),590.0,710.0,454.0,533.0,762.0,,,
세전계속사업이익,324.0,579.0,574.0,629.0,570.0,961.0,1175.0,1381.0
당기순이익,230.0,407.0,419.0,283.0,102.0,605.0,700.0,790.0
당기순이익(지배),45.0,131.0,169.0,128.0,42.0,290.0,336.0,379.0
당기순이익(비지배),185.0,276.0,250.0,155.0,60.0,,,
자산총계,9111.0,9289.0,11425.0,12635.0,14807.0,14510.0,15676.0,17206.0
부채총계,4989.0,4958.0,6784.0,7533.0,9029.0,8239.0,8817.0,9668.0
자본총계,4123.0,4332.0,4640.0,5102.0,5778.0,6271.0,6859.0,7538.0
자본총계(지배),1990.0,1979.0,1984.0,2078.0,2433.0,2680.0,2973.0,3310.0
자본총계(비지배),2133.0,2353.0,2656.0,3024.0,3345.0,,,
자본금,558.0,566.0,597.0,602.0,642.0,642.0,642.0,642.0
영업활동현금흐름,625.0,-55.0,-521.0,759.0,1895.0,917.0,913.0,1015.0
투자활동현금흐름,913.0,-787.0,-435.0,-764.0,-1378.0,-327.0,-296.0,-334.0
재무활동현금흐름,-1000.0,-65.0,683.0,612.0,189.0,-1509.0,-193.0,-43.0
CAPEX,211.0,191.0,166.0,224.0,207.0,0.0,0.0,0.0
FCF,414.0,-246.0,-687.0,535.0,1688.0,917.0,913.0,1015.0
이자발생부채,2233.0,2305.0,3742.0,4262.0,4356.0,,,
영업이익률,6.94,8.09,4.47,8.99,6.93,7.62,8.03,8.17
순이익률,2.7,4.63,4.13,3.51,0.93,4.51,4.62,4.56
ROE(%),2.38,6.59,8.51,6.32,1.88,11.34,11.89,12.06
ROA(%),2.39,4.42,4.04,2.36,0.74,4.13,4.64,4.81
부채비율,121.01,114.45,146.21,147.65,156.27,131.38,128.55,128.26
자본유보율,298.5,299.91,294.85,315.9,337.52,,,
EPS(원),420.0,1207.0,1488.0,1117.0,362.0,2332.0,2701.0,3047.0
PER(배),40.39,13.75,10.42,13.2,67.63,11.66,10.07,8.93
BPS(원),19669.0,19221.0,18170.0,18865.0,20013.0,21896.0,24290.0,27044.0
PBR(배),0.86,0.86,0.85,0.78,1.22,1.24,1.12,1.01
현금DPS(원),1000.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
현금배당수익률,5.9,2.11,2.26,2.37,1.43,1.29,1.29,1.29
현금배당성향(%),225.28,27.57,22.68,30.02,100.25,0.15,0.13,0.11
발행주식수(보통주),10700000.0,10858393.0,11478870.0,11576968.0,12373409.0,,,
