주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016,2017,2018(E),2019(E),2020(E)
매출액,,,,,8715.0,15500.0,,
영업이익,,,,,217.0,550.0,,
영업이익(발표기준),,,,,217.0,,,
세전계속사업이익,,,,,232.0,570.0,,
당기순이익,,,,,178.0,450.0,,
당기순이익(지배),,,,,178.0,450.0,,
당기순이익(비지배),,,,,0.0,,,
자산총계,,,,,7103.0,7680.0,,
부채총계,,,,,4159.0,4360.0,,
자본총계,,,,,2943.0,3320.0,,
자본총계(지배),,,,,2938.0,3320.0,,
자본총계(비지배),,,,,5.0,,,
자본금,,,,,118.0,,,
영업활동현금흐름,,,,,194.0,990.0,,
투자활동현금흐름,,,,,-542.0,-520.0,,
재무활동현금흐름,,,,,-9.0,-30.0,,
CAPEX,,,,,237.0,0.0,,
FCF,,,,,-43.0,,,
이자발생부채,,,,,149.0,,,
영업이익률,,,,,2.49,3.55,,
순이익률,,,,,2.04,2.9,,
ROE(%),,,,,,14.38,,
ROA(%),,,,,,6.09,,
부채비율,,,,,141.32,131.33,,
자본유보율,,,,,2393.05,,,
EPS(원),,,,,5002.0,9540.0,,
PER(배),,,,,7.25,4.64,,
BPS(원),,,,,62343.0,70438.0,,
PBR(배),,,,,0.58,0.63,,
현금DPS(원),,,,,750.0,750.0,,
현금배당수익률,,,,,2.07,1.69,,
현금배당성향(%),,,,,19.89,0.08,,
발행주식수(보통주),,,,,,,,
