주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,944.0,831.0,768.0,875.0,1051.0,,,
영업이익,36.0,9.0,-22.0,8.0,33.0,,,
영업이익(발표기준),36.0,9.0,-22.0,8.0,33.0,,,
세전계속사업이익,45.0,21.0,-49.0,64.0,34.0,,,
당기순이익,37.0,15.0,-52.0,55.0,39.0,,,
당기순이익(지배),37.0,15.0,-52.0,55.0,39.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1181.0,1164.0,1148.0,1214.0,1280.0,,,
부채총계,160.0,170.0,258.0,270.0,303.0,,,
자본총계,1021.0,994.0,891.0,944.0,977.0,,,
자본총계(지배),1021.0,994.0,891.0,944.0,977.0,,,
자본총계(비지배),,,,,,,,
자본금,111.0,111.0,111.0,111.0,111.0,,,
영업활동현금흐름,27.0,74.0,3.0,35.0,39.0,,,
투자활동현금흐름,-89.0,-70.0,-58.0,-5.0,-45.0,,,
재무활동현금흐름,-37.0,-31.0,34.0,-8.0,-6.0,,,
CAPEX,47.0,88.0,24.0,21.0,45.0,,,
FCF,-19.0,-14.0,-21.0,14.0,-6.0,,,
이자발생부채,47.0,55.0,139.0,140.0,142.0,,,
영업이익률,3.78,1.04,-2.83,0.9,3.13,,,
순이익률,3.91,1.85,-6.71,6.28,3.69,,,
ROE(%),3.62,1.52,-5.47,5.99,4.04,,,
ROA(%),3.08,1.31,-4.46,4.65,3.11,,,
부채비율,15.72,17.08,28.93,28.6,31.06,,,
자본유보율,847.88,828.65,747.26,795.53,824.33,,,
EPS(원),166.0,69.0,-232.0,248.0,175.0,,,
PER(배),11.4,31.69,-13.81,12.38,16.6,,,
BPS(원),5528.0,5385.0,4956.0,5251.0,5435.0,,,
PBR(배),0.34,0.41,0.65,0.58,0.53,,,
현금DPS(원),200.0,200.0,40.0,45.0,40.0,,,
현금배당수익률,10.55,9.13,1.25,1.47,1.38,,,
현금배당성향(%),100.06,240.7,-13.96,14.72,18.54,,,
발행주식수(보통주),22200000.0,22200000.0,22200000.0,22200000.0,22200000.0,,,
