주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,216.0,223.0,190.0,173.0,236.0,,,
영업이익,17.0,9.0,6.0,-2.0,-8.0,,,
영업이익(발표기준),17.0,9.0,6.0,-2.0,-8.0,,,
세전계속사업이익,16.0,7.0,-51.0,88.0,7.0,,,
당기순이익,13.0,6.0,-38.0,70.0,5.0,,,
당기순이익(지배),13.0,6.0,-38.0,70.0,5.0,,,
당기순이익(비지배),,,,,,,,
자산총계,235.0,220.0,196.0,348.0,353.0,,,
부채총계,71.0,63.0,89.0,172.0,171.0,,,
자본총계,165.0,157.0,107.0,176.0,182.0,,,
자본총계(지배),165.0,157.0,107.0,176.0,182.0,,,
자본총계(비지배),,,,,,,,
자본금,50.0,50.0,50.0,50.0,50.0,,,
영업활동현금흐름,16.0,22.0,15.0,-3.0,-2.0,,,
투자활동현금흐름,-1.0,-3.0,-28.0,-139.0,-2.0,,,
재무활동현금흐름,-15.0,-19.0,19.0,137.0,5.0,,,
CAPEX,1.0,4.0,28.0,139.0,2.0,,,
FCF,15.0,19.0,-13.0,-142.0,-4.0,,,
이자발생부채,26.0,20.0,1.0,47.0,37.0,,,
영업이익률,7.69,3.93,3.06,-0.88,-3.25,,,
순이익률,5.89,2.47,-19.91,40.46,2.27,,,
ROE(%),7.56,3.42,-28.69,49.46,2.99,,,
ROA(%),5.36,2.42,-18.21,25.72,1.53,,,
부채비율,42.87,39.86,83.66,97.5,94.07,,,
자본유보율,229.1,214.94,113.67,252.88,263.93,,,
EPS(원),127.0,55.0,-379.0,701.0,54.0,,,
PER(배),15.88,43.32,-6.07,3.35,30.6,,,
BPS(원),1646.0,1575.0,1068.0,1764.0,1820.0,,,
PBR(배),1.23,1.51,2.15,1.33,0.9,,,
현금DPS(원),125.0,125.0,25.0,,,,,
현금배당수익률,6.19,5.24,1.09,,,,,
현금배당성향(%),98.26,227.06,-6.59,0.0,,,,
발행주식수(보통주),10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,,,
