주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,351.0,378.0,337.0,265.0,299.0,,,
영업이익,-25.0,2.0,17.0,-2.0,-21.0,,,
영업이익(발표기준),-25.0,2.0,18.0,-2.0,-21.0,,,
세전계속사업이익,17.0,-27.0,16.0,-46.0,-38.0,,,
당기순이익,13.0,-21.0,14.0,-36.0,-47.0,,,
당기순이익(지배),13.0,-21.0,14.0,-36.0,-47.0,,,
당기순이익(비지배),,,,,,,,
자산총계,782.0,757.0,704.0,648.0,849.0,,,
부채총계,54.0,93.0,43.0,21.0,286.0,,,
자본총계,728.0,665.0,661.0,627.0,563.0,,,
자본총계(지배),728.0,665.0,661.0,627.0,563.0,,,
자본총계(비지배),,,,,,,,
자본금,57.0,57.0,57.0,57.0,57.0,,,
영업활동현금흐름,-54.0,29.0,60.0,28.0,-29.0,,,
투자활동현금흐름,62.0,-82.0,-3.0,-40.0,-4.0,,,
재무활동현금흐름,,50.0,-50.0,,28.0,,,
CAPEX,1.0,5.0,5.0,1.0,7.0,,,
FCF,-55.0,24.0,55.0,27.0,-36.0,,,
이자발생부채,,50.0,,,228.0,,,
영업이익률,-6.99,0.41,5.12,-0.77,-6.98,,,
순이익률,3.83,-5.57,4.03,-13.71,-15.79,,,
ROE(%),1.86,-3.02,2.05,-5.64,-7.94,,,
ROA(%),1.74,-2.74,1.86,-5.37,-6.31,,,
부채비율,7.38,13.92,6.53,3.42,50.73,,,
자본유보율,1082.39,1043.24,1067.33,1001.5,917.98,,,
EPS(원),119.0,-186.0,120.0,-321.0,-418.0,,,
PER(배),29.05,-12.89,22.09,-10.61,-5.41,,,
BPS(원),6534.0,5965.0,5933.0,5626.0,5056.0,,,
PBR(배),0.53,0.4,0.45,0.61,0.45,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),11309259.0,11309259.0,11309259.0,11309259.0,11309259.0,,,
