주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2255.0,2293.0,2762.0,2938.0,3127.0,,,
영업이익,-206.0,7.0,60.0,105.0,97.0,,,
영업이익(발표기준),-206.0,7.0,60.0,105.0,97.0,,,
세전계속사업이익,-259.0,-54.0,75.0,191.0,45.0,,,
당기순이익,-267.0,-77.0,-43.0,152.0,31.0,,,
당기순이익(지배),-234.0,-59.0,-8.0,149.0,32.0,,,
당기순이익(비지배),-33.0,-18.0,-35.0,3.0,0.0,,,
자산총계,2053.0,2086.0,1977.0,2006.0,2071.0,,,
부채총계,1854.0,1994.0,1758.0,1644.0,1690.0,,,
자본총계,199.0,92.0,219.0,361.0,381.0,,,
자본총계(지배),198.0,107.0,254.0,358.0,378.0,,,
자본총계(비지배),0.0,-15.0,-34.0,3.0,3.0,,,
자본금,90.0,90.0,90.0,90.0,90.0,,,
영업활동현금흐름,-175.0,31.0,46.0,-19.0,141.0,,,
투자활동현금흐름,-202.0,-85.0,483.0,-186.0,-98.0,,,
재무활동현금흐름,439.0,157.0,-391.0,44.0,-16.0,,,
CAPEX,190.0,82.0,104.0,132.0,113.0,,,
FCF,-365.0,-51.0,-58.0,-151.0,28.0,,,
이자발생부채,864.0,1025.0,593.0,666.0,795.0,,,
영업이익률,-9.12,0.28,2.19,3.56,3.1,,,
순이익률,-11.84,-3.35,-1.54,5.18,1.0,,,
ROE(%),-80.8,-38.48,-4.22,48.83,8.6,,,
ROA(%),-14.2,-3.72,-2.1,7.65,1.54,,,
부채비율,933.43,2161.97,801.75,455.15,443.61,,,
자본유보율,32.22,-55.4,-59.75,103.1,116.18,,,
EPS(원),-1300.0,-327.0,-42.0,830.0,176.0,,,
PER(배),-1.07,-4.29,-43.39,2.69,9.72,,,
BPS(원),1404.0,759.0,1796.0,1991.0,2100.0,,,
PBR(배),0.99,1.84,1.02,1.12,0.81,,,
현금DPS(원),40.0,20.0,60.0,55.0,50.0,,,
현금배당수익률,2.88,1.43,3.27,2.47,2.92,,,
현금배당성향(%),-2.41,-2.2,-111.34,6.63,28.42,,,
발행주식수(보통주),18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,,,
