주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1920.0,2013.0,2165.0,2393.0,2453.0,2604.0,2772.0,2956.0
영업이익,301.0,316.0,360.0,421.0,469.0,532.0,575.0,621.0
영업이익(발표기준),301.0,316.0,360.0,421.0,469.0,,,
세전계속사업이익,286.0,302.0,346.0,389.0,465.0,531.0,576.0,619.0
당기순이익,79.0,207.0,270.0,302.0,358.0,411.0,446.0,476.0
당기순이익(지배),79.0,207.0,270.0,302.0,358.0,412.0,447.0,476.0
당기순이익(비지배),,,,,,,,
자산총계,2039.0,2093.0,2207.0,2276.0,2418.0,2761.0,3132.0,3520.0
부채총계,910.0,833.0,727.0,579.0,484.0,546.0,578.0,606.0
자본총계,1130.0,1260.0,1481.0,1697.0,1935.0,2212.0,2551.0,2915.0
자본총계(지배),1130.0,1260.0,1481.0,1697.0,1935.0,2212.0,2551.0,2915.0
자본총계(비지배),,,,,,,,
자본금,139.0,139.0,139.0,139.0,139.0,140.0,140.0,140.0
영업활동현금흐름,74.0,324.0,189.0,487.0,373.0,480.0,476.0,485.0
투자활동현금흐름,-51.0,-129.0,-101.0,-106.0,-86.0,-93.0,-150.0,-108.0
재무활동현금흐름,-22.0,-194.0,-106.0,-270.0,-187.0,-57.0,-105.0,-107.0
CAPEX,68.0,133.0,77.0,78.0,91.0,92.0,138.0,95.0
FCF,5.0,191.0,113.0,409.0,282.0,330.0,290.0,430.0
이자발생부채,475.0,330.0,290.0,90.0,40.0,,,
영업이익률,15.67,15.69,16.61,17.57,19.14,20.42,20.76,21.0
순이익률,4.1,10.29,12.49,12.61,14.59,15.8,16.1,16.11
ROE(%),6.98,17.33,19.73,18.99,19.71,19.85,18.77,17.43
ROA(%),3.86,10.03,12.58,13.46,15.25,15.88,15.15,14.32
부채비율,80.51,66.06,49.08,34.11,25.01,24.71,22.65,20.77
자본유보율,863.27,949.91,1101.38,1250.48,1450.6,,,
EPS(원),567.0,1490.0,1946.0,2171.0,2575.0,2960.0,3216.0,3426.0
PER(배),25.5,14.36,11.95,16.01,13.92,18.61,17.13,16.08
BPS(원),9073.0,10121.0,11890.0,13627.0,15725.0,17978.0,20735.0,23692.0
PBR(배),1.59,2.11,1.96,2.55,2.28,3.06,2.66,2.33
현금DPS(원),400.0,500.0,600.0,700.0,800.0,825.0,850.0,875.0
현금배당수익률,2.77,2.34,2.58,2.01,2.23,1.5,1.54,1.59
현금배당성향(%),63.23,30.06,27.63,28.89,27.5,0.28,0.26,0.26
발행주식수(보통주),13900000.0,13900000.0,13900000.0,13900000.0,13900000.0,,,
