주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2244.0,2178.0,2010.0,2050.0,2363.0,,,
영업이익,81.0,82.0,81.0,82.0,79.0,,,
영업이익(발표기준),81.0,82.0,81.0,82.0,79.0,,,
세전계속사업이익,103.0,101.0,106.0,107.0,108.0,,,
당기순이익,78.0,78.0,85.0,88.0,87.0,,,
당기순이익(지배),78.0,78.0,85.0,88.0,87.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1309.0,1490.0,1405.0,1571.0,1653.0,,,
부채총계,501.0,621.0,464.0,555.0,568.0,,,
자본총계,808.0,869.0,940.0,1015.0,1084.0,,,
자본총계(지배),808.0,869.0,940.0,1015.0,1084.0,,,
자본총계(비지배),,,,,,,,
자본금,78.0,78.0,78.0,78.0,78.0,,,
영업활동현금흐름,189.0,24.0,226.0,99.0,29.0,,,
투자활동현금흐름,-79.0,-175.0,-74.0,-75.0,-36.0,,,
재무활동현금흐름,-102.0,111.0,-126.0,-24.0,33.0,,,
CAPEX,78.0,180.0,73.0,74.0,89.0,,,
FCF,111.0,-155.0,153.0,25.0,-60.0,,,
이자발생부채,263.0,386.0,273.0,264.0,314.0,,,
영업이익률,3.63,3.74,4.05,4.0,3.36,,,
순이익률,3.48,3.57,4.22,4.28,3.69,,,
ROE(%),10.08,9.28,9.37,8.97,8.29,,,
ROA(%),6.0,5.56,5.86,5.89,5.4,,,
부채비율,62.06,71.4,49.4,54.72,52.41,,,
자본유보율,942.03,1020.71,1111.45,1206.18,1297.02,,,
EPS(원),499.0,498.0,542.0,561.0,557.0,,,
PER(배),7.8,7.44,7.15,11.47,7.5,,,
BPS(원),5282.0,5683.0,6148.0,6637.0,7090.0,,,
PBR(배),0.74,0.65,0.63,0.97,0.59,,,
현금DPS(원),80.0,90.0,100.0,110.0,140.0,,,
현금배당수익률,2.06,2.43,2.58,1.71,3.35,,,
현금배당성향(%),15.69,17.69,18.04,19.19,24.59,,,
발행주식수(보통주),15637042.0,15637042.0,15637042.0,15637042.0,15637042.0,,,
