주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,4520.0,5127.0,5947.0,406.0,444.0,,,
영업이익,14.0,86.0,131.0,31.0,3.0,,,
영업이익(발표기준),14.0,86.0,131.0,94.0,3.0,,,
세전계속사업이익,21.0,118.0,160.0,58.0,35.0,,,
당기순이익,5.0,21.0,98.0,79.0,5193.0,,,
당기순이익(지배),5.0,21.0,98.0,63.0,5188.0,,,
당기순이익(비지배),,,,16.0,5.0,,,
자산총계,3961.0,4096.0,4452.0,4920.0,1976.0,,,
부채총계,1585.0,1744.0,2038.0,2399.0,271.0,,,
자본총계,2376.0,2352.0,2414.0,2521.0,1704.0,,,
자본총계(지배),2376.0,2352.0,2414.0,2489.0,1667.0,,,
자본총계(비지배),,,,31.0,37.0,,,
자본금,74.0,74.0,74.0,74.0,22.0,,,
영업활동현금흐름,129.0,-37.0,27.0,114.0,59.0,,,
투자활동현금흐름,-27.0,27.0,-40.0,-299.0,-38.0,,,
재무활동현금흐름,-142.0,11.0,68.0,348.0,-238.0,,,
CAPEX,20.0,32.0,67.0,302.0,29.0,,,
FCF,109.0,-68.0,-40.0,-189.0,30.0,,,
이자발생부채,140.0,156.0,263.0,570.0,7.0,,,
영업이익률,0.3,1.67,2.21,7.72,0.66,,,
순이익률,0.11,0.41,1.64,19.43,1168.62,,,
ROE(%),0.2,0.89,4.1,,249.63,,,
ROA(%),0.12,0.52,2.28,,150.63,,,
부채비율,66.71,74.13,84.42,95.17,15.93,,,
자본유보율,3190.57,3164.13,3261.91,3378.03,7867.51,,,
EPS(원),33.0,141.0,657.0,425.0,58914.0,,,
PER(배),451.98,173.33,66.08,214.61,0.61,,,
BPS(원),18439.0,18255.0,18952.0,19546.0,44782.0,,,
PBR(배),0.8,1.34,2.29,4.66,0.8,,,
현금DPS(원),40.0,60.0,60.0,70.0,60.0,,,
현금배당수익률,0.27,0.25,0.14,0.08,0.17,,,
현금배당성향(%),106.42,36.89,7.83,14.13,0.04,,,
발행주식수(보통주),14850000.0,14850000.0,14850000.0,14850000.0,4345507.0,,,
