주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,196.0,229.0,153.0,183.0,157.0,,,
영업이익,-32.0,-2.0,12.0,21.0,-5.0,,,
영업이익(발표기준),-32.0,-2.0,12.0,21.0,-5.0,,,
세전계속사업이익,-91.0,-13.0,107.0,-18.0,-5.0,,,
당기순이익,-91.0,-12.0,2.0,-21.0,-4.0,,,
당기순이익(지배),-73.0,-7.0,2.0,-21.0,-4.0,,,
당기순이익(비지배),-18.0,-6.0,,,,,,
자산총계,585.0,568.0,584.0,578.0,749.0,,,
부채총계,311.0,307.0,208.0,143.0,128.0,,,
자본총계,274.0,261.0,375.0,435.0,621.0,,,
자본총계(지배),241.0,259.0,375.0,435.0,621.0,,,
자본총계(비지배),34.0,2.0,,,,,,
자본금,236.0,236.0,236.0,64.0,96.0,,,
영업활동현금흐름,4.0,37.0,10.0,-20.0,6.0,,,
투자활동현금흐름,-15.0,-4.0,47.0,-75.0,-187.0,,,
재무활동현금흐름,14.0,-7.0,-82.0,115.0,169.0,,,
CAPEX,19.0,4.0,,1.0,41.0,,,
FCF,-15.0,34.0,10.0,-21.0,-35.0,,,
이자발생부채,246.0,239.0,76.0,108.0,94.0,,,
영업이익률,-16.18,-0.82,8.17,11.29,-2.98,,,
순이익률,-46.67,-5.39,1.42,-11.44,-2.37,,,
ROE(%),-26.44,-2.64,0.67,-5.16,-0.7,,,
ROA(%),-14.75,-2.14,0.41,-3.6,-0.56,,,
부채비율,113.52,117.45,55.5,32.93,20.66,,,
자본유보율,4.91,12.78,59.2,583.58,540.81,,,
EPS(원),-778.0,-70.0,23.0,-178.0,-22.0,,,
PER(배),-2.7,-26.89,117.58,-24.55,-196.36,,,
BPS(원),2551.0,2745.0,3980.0,3403.0,3238.0,,,
PBR(배),0.82,0.68,0.68,1.29,1.32,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),9429572.0,9429572.0,9429572.0,12787170.0,19181100.0,,,
