주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1349.0,1369.0,1438.0,1439.0,1456.0,,,
영업이익,190.0,167.0,284.0,355.0,258.0,,,
영업이익(발표기준),190.0,167.0,284.0,355.0,258.0,,,
세전계속사업이익,192.0,147.0,231.0,331.0,243.0,,,
당기순이익,134.0,105.0,169.0,256.0,181.0,,,
당기순이익(지배),137.0,109.0,168.0,256.0,181.0,,,
당기순이익(비지배),-3.0,-5.0,0.0,0.0,0.0,,,
자산총계,2459.0,2457.0,2352.0,2397.0,2563.0,,,
부채총계,945.0,899.0,630.0,449.0,472.0,,,
자본총계,1514.0,1558.0,1722.0,1948.0,2091.0,,,
자본총계(지배),1524.0,1561.0,1725.0,1951.0,2092.0,,,
자본총계(비지배),-10.0,-3.0,-3.0,-2.0,-1.0,,,
자본금,65.0,65.0,65.0,65.0,65.0,,,
영업활동현금흐름,298.0,26.0,402.0,512.0,146.0,,,
투자활동현금흐름,-358.0,43.0,-130.0,-209.0,-141.0,,,
재무활동현금흐름,217.0,-109.0,-267.0,-224.0,-42.0,,,
CAPEX,363.0,6.0,27.0,5.0,13.0,,,
FCF,-65.0,19.0,374.0,507.0,133.0,,,
이자발생부채,548.0,490.0,230.0,30.0,28.0,,,
영업이익률,14.07,12.2,19.77,24.65,17.69,,,
순이익률,9.96,7.66,11.73,17.81,12.4,,,
ROE(%),9.44,7.1,10.24,13.93,8.95,,,
ROA(%),5.86,4.27,7.02,10.79,7.28,,,
부채비율,62.45,57.73,36.57,23.06,22.58,,,
자본유보율,2398.39,2526.91,2764.84,3114.45,3330.53,,,
EPS(원),1057.0,842.0,1294.0,1970.0,1391.0,,,
PER(배),12.77,9.52,6.28,8.07,8.55,,,
BPS(원),12111.0,12756.0,14091.0,15935.0,17092.0,,,
PBR(배),1.11,0.63,0.58,1.0,0.7,,,
현금DPS(원),130.0,130.0,200.0,330.0,350.0,,,
현금배당수익률,0.96,1.62,2.46,2.08,2.94,,,
현금배당성향(%),11.91,14.53,14.55,15.78,23.69,,,
발행주식수(보통주),12996741.0,12996741.0,12996741.0,12996741.0,12996741.0,,,
