주요재무정보,2013,2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,35191.0,37543.0,38961.0,39394.0,40993.0,42905.0,44926.0,46908.0
영업이익,1848.0,1444.0,1602.0,1745.0,2075.0,2264.0,2453.0,2644.0
영업이익(발표기준),1848.0,1444.0,1602.0,1745.0,2075.0,,,
세전계속사업이익,1669.0,1244.0,1432.0,1625.0,1990.0,2188.0,2390.0,2592.0
당기순이익,1291.0,964.0,1066.0,1214.0,1484.0,1645.0,1800.0,1955.0
당기순이익(지배),1291.0,964.0,1066.0,1214.0,1484.0,1645.0,1800.0,1955.0
당기순이익(비지배),,,,,,,,
자산총계,27554.0,27746.0,29052.0,30049.0,32046.0,31947.0,32913.0,34242.0
부채총계,11604.0,10895.0,11224.0,11092.0,11788.0,10793.0,10385.0,10225.0
자본총계,15950.0,16851.0,17828.0,18957.0,20258.0,21317.0,22689.0,24209.0
자본총계(지배),15950.0,16851.0,17828.0,18957.0,20258.0,21317.0,22689.0,24209.0
자본총계(비지배),,,,,,,,
자본금,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0
영업활동현금흐름,1567.0,1953.0,1203.0,2369.0,2517.0,1279.0,2134.0,2075.0
투자활동현금흐름,-593.0,-527.0,-848.0,-779.0,-528.0,-494.0,-526.0,-545.0
재무활동현금흐름,-932.0,-997.0,-106.0,-1309.0,-275.0,-1303.0,-1030.0,-770.0
CAPEX,641.0,607.0,312.0,402.0,294.0,504.0,445.0,471.0
FCF,926.0,1346.0,891.0,1967.0,2224.0,1124.0,1757.0,1682.0
이자발생부채,7991.0,7315.0,7540.0,6490.0,6494.0,,,
영업이익률,5.25,3.85,4.11,4.43,5.06,5.28,5.46,5.64
순이익률,3.67,2.57,2.74,3.08,3.62,3.83,4.01,4.17
ROE(%),8.41,5.88,6.15,6.6,7.57,7.91,8.18,8.34
ROA(%),4.82,3.49,3.75,4.11,4.78,5.14,5.55,5.82
부채비율,72.75,64.65,62.96,58.51,58.19,50.63,45.77,42.24
자본유보율,1251.44,1327.86,1409.4,1505.83,1624.66,,,
EPS(원),5469.0,4085.0,4515.0,5144.0,6288.0,6967.0,7624.0,8283.0
PER(배),16.0,16.52,13.07,8.2,10.96,10.28,9.39,8.64
BPS(원),67564.0,71381.0,75519.0,80298.0,85810.0,90299.0,96107.0,102549.0
PBR(배),1.3,0.95,0.78,0.53,0.8,0.79,0.75,0.7
현금DPS(원),250.0,330.0,430.0,500.0,1850.0,1768.0,1801.0,1785.0
현금배당수익률,0.29,0.49,0.73,1.18,2.69,2.47,2.52,2.49
현금배당성향(%),4.57,8.08,9.52,9.72,29.42,0.25,0.24,0.22
발행주식수(보통주),23607712.0,23607712.0,23607712.0,23607712.0,23607712.0,,,
