주요재무정보,2013,2014,2015,2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,141.0,76.0,57.0,58.0,359.0,,,
영업이익,-134.0,-70.0,-33.0,-61.0,-43.0,,,
영업이익(발표기준),-153.0,-67.0,-33.0,-62.0,-43.0,,,
세전계속사업이익,-264.0,-180.0,-97.0,-95.0,-387.0,,,
당기순이익,-306.0,-180.0,-98.0,-96.0,-390.0,,,
당기순이익(지배),-306.0,-180.0,-98.0,-96.0,-383.0,,,
당기순이익(비지배),,,,,-7.0,,,
자산총계,672.0,727.0,691.0,952.0,1240.0,,,
부채총계,285.0,370.0,253.0,236.0,725.0,,,
자본총계,387.0,357.0,438.0,716.0,514.0,,,
자본총계(지배),387.0,357.0,438.0,716.0,510.0,,,
자본총계(비지배),,,,,4.0,,,
자본금,254.0,359.0,449.0,686.0,784.0,,,
영업활동현금흐름,27.0,-76.0,-193.0,-21.0,-18.0,,,
투자활동현금흐름,-26.0,-91.0,17.0,-106.0,-234.0,,,
재무활동현금흐름,-15.0,166.0,202.0,107.0,251.0,,,
CAPEX,1.0,1.0,1.0,5.0,9.0,,,
FCF,26.0,-77.0,-194.0,-26.0,-27.0,,,
이자발생부채,91.0,176.0,223.0,186.0,256.0,,,
영업이익률,-94.79,-91.54,-58.56,-106.47,-12.06,,,
순이익률,-216.69,-236.23,-172.04,-167.62,-108.73,,,
ROE(%),-86.19,-48.3,-24.58,-16.73,,,,
ROA(%),-51.57,-25.7,-13.78,-11.75,,,,
부채비율,73.51,103.65,57.85,32.92,141.06,,,
자본유보율,116.6,41.32,26.0,24.02,-15.66,,,
EPS(원),-730.0,-305.0,-123.0,-79.0,-264.0,,,
PER(배),-0.66,-3.97,-7.3,-13.84,-2.73,,,
BPS(원),761.0,497.0,488.0,522.0,326.0,,,
PBR(배),0.64,2.44,1.84,2.09,2.22,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),50869719.0,71864925.0,89762635.0,137229808.0,156719712.0,,,
