주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,307.0,312.0,311.0,357.0,335.0,,,
영업이익,8.0,8.0,13.0,20.0,13.0,,,
영업이익(발표기준),8.0,8.0,13.0,20.0,13.0,,,
세전계속사업이익,6.0,21.0,-1.0,34.0,14.0,,,
당기순이익,7.0,21.0,-2.0,30.0,12.0,,,
당기순이익(지배),7.0,21.0,-2.0,30.0,12.0,,,
당기순이익(비지배),,,,,,,,
자산총계,497.0,515.0,495.0,531.0,518.0,,,
부채총계,104.0,104.0,95.0,104.0,86.0,,,
자본총계,393.0,411.0,400.0,427.0,432.0,,,
자본총계(지배),393.0,411.0,400.0,427.0,432.0,,,
자본총계(비지배),,,,,,,,
자본금,120.0,120.0,120.0,120.0,120.0,,,
영업활동현금흐름,20.0,36.0,32.0,55.0,7.0,,,
투자활동현금흐름,-15.0,-28.0,-41.0,-3.0,-17.0,,,
재무활동현금흐름,6.0,-15.0,-9.0,-11.0,-11.0,,,
CAPEX,13.0,26.0,25.0,24.0,11.0,,,
FCF,6.0,11.0,6.0,30.0,-4.0,,,
이자발생부채,37.0,25.0,24.0,17.0,14.0,,,
영업이익률,2.44,2.59,4.12,5.69,3.82,,,
순이익률,2.34,6.68,-0.56,8.49,3.7,,,
ROE(%),1.85,5.17,-0.43,7.33,2.88,,,
ROA(%),1.45,4.11,-0.34,5.91,2.36,,,
부채비율,26.59,25.19,23.79,24.3,19.92,,,
자본유보율,228.7,244.44,235.0,256.42,260.54,,,
EPS(원),12.0,35.0,-3.0,51.0,21.0,,,
PER(배),39.94,17.25,-271.62,22.83,52.22,,,
BPS(원),655.0,687.0,668.0,714.0,722.0,,,
PBR(배),0.73,0.87,1.17,1.62,1.5,,,
현금DPS(원),4.0,14.0,6.0,14.0,7.0,,,
현금배당수익률,0.83,2.34,0.77,1.21,0.65,,,
현금배당성향(%),33.28,40.33,-208.4,27.65,33.85,,,
발행주식수(보통주),59900000.0,59900000.0,59900000.0,59900000.0,59900000.0,,,
