주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,492.0,484.0,655.0,1090.0,1368.0,,,
영업이익,-89.0,-24.0,1.0,12.0,26.0,,,
영업이익(발표기준),-89.0,-24.0,1.0,12.0,26.0,,,
세전계속사업이익,-441.0,-46.0,87.0,-9.0,14.0,,,
당기순이익,-489.0,-46.0,87.0,-11.0,11.0,,,
당기순이익(지배),-489.0,-46.0,87.0,-11.0,11.0,,,
당기순이익(비지배),,,,,,,,
자산총계,337.0,281.0,792.0,1219.0,1240.0,,,
부채총계,149.0,146.0,357.0,794.0,808.0,,,
자본총계,188.0,134.0,435.0,426.0,432.0,,,
자본총계(지배),188.0,134.0,435.0,426.0,432.0,,,
자본총계(비지배),,,,,,,,
자본금,131.0,133.0,238.0,238.0,238.0,,,
영업활동현금흐름,-14.0,-20.0,-22.0,-48.0,35.0,,,
투자활동현금흐름,547.0,-63.0,-198.0,-215.0,17.0,,,
재무활동현금흐름,-579.0,27.0,215.0,304.0,-7.0,,,
CAPEX,0.0,1.0,6.0,1.0,3.0,,,
FCF,-14.0,-21.0,-27.0,-49.0,31.0,,,
이자발생부채,,33.0,137.0,442.0,442.0,,,
영업이익률,-18.02,-5.03,0.09,1.1,1.92,,,
순이익률,-99.4,-9.55,13.3,-0.99,0.81,,,
ROE(%),-278.17,-28.71,,-2.51,2.57,,,
ROA(%),-44.68,-14.99,,-1.08,0.9,,,
부채비율,79.16,108.72,82.18,186.41,186.8,,,
자본유보율,19.16,104.61,95.37,91.69,95.63,,,
EPS(원),-42263.0,-325.0,539.0,-46.0,46.0,,,
PER(배),-2.65,-8.22,4.9,-58.2,38.91,,,
BPS(원),1331.0,936.0,1829.0,1792.0,1819.0,,,
PBR(배),84.28,2.86,1.44,1.48,0.99,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),14128987.0,14366495.0,23762935.0,23764635.0,23769595.0,,,
