주요재무정보,2013/06,2014/06,2015/06,2016/06,2017/06,2018/06(E),2019/06(E),2020/06(E)
매출액,993.0,916.0,854.0,1560.0,1741.0,,,
영업이익,58.0,49.0,11.0,-61.0,-21.0,,,
영업이익(발표기준),58.0,49.0,11.0,-61.0,-21.0,,,
세전계속사업이익,37.0,37.0,235.0,-243.0,-84.0,,,
당기순이익,31.0,24.0,235.0,-240.0,-99.0,,,
당기순이익(지배),31.0,25.0,235.0,-238.0,-98.0,,,
당기순이익(비지배),0.0,-1.0,0.0,-2.0,-1.0,,,
자산총계,762.0,745.0,1880.0,2076.0,1660.0,,,
부채총계,268.0,176.0,968.0,1384.0,1053.0,,,
자본총계,494.0,568.0,912.0,692.0,607.0,,,
자본총계(지배),495.0,569.0,893.0,690.0,606.0,,,
자본총계(비지배),-1.0,0.0,19.0,2.0,1.0,,,
자본금,52.0,62.0,81.0,89.0,92.0,,,
영업활동현금흐름,104.0,12.0,-283.0,-285.0,-171.0,,,
투자활동현금흐름,-3.0,-24.0,-23.0,-168.0,461.0,,,
재무활동현금흐름,-30.0,52.0,234.0,353.0,-296.0,,,
CAPEX,3.0,3.0,9.0,42.0,61.0,,,
FCF,101.0,9.0,-292.0,-328.0,-232.0,,,
이자발생부채,94.0,94.0,682.0,726.0,557.0,,,
영업이익률,5.83,5.37,1.33,-3.9,-1.2,,,
순이익률,3.09,2.66,27.55,-15.36,-5.71,,,
ROE(%),6.43,4.71,32.18,-30.06,-15.16,,,
ROA(%),3.97,3.23,17.92,-12.12,-5.32,,,
부채비율,54.32,31.04,106.22,199.87,173.46,,,
자본유보율,879.97,830.07,1009.62,676.06,558.77,,,
EPS(원),300.0,215.0,1637.0,-1392.0,-549.0,,,
PER(배),9.34,13.11,1.91,-6.67,-8.82,,,
BPS(원),4915.0,4675.0,5580.0,3914.0,3323.0,,,
PBR(배),0.57,0.6,0.56,2.37,1.46,,,
현금DPS(원),125.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,4.46,0.0,0.0,0.0,0.0,,,
현금배당성향(%),40.76,0.0,0.0,0.0,,,,
발행주식수(보통주),10309455.0,12371346.0,16198661.0,17831138.0,18467253.0,,,
