주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1967.0,1898.0,1832.0,2283.0,2296.0,,,
영업이익,103.0,-72.0,-107.0,161.0,62.0,,,
영업이익(발표기준),103.0,-72.0,-107.0,161.0,62.0,,,
세전계속사업이익,95.0,-34.0,-210.0,157.0,11.0,,,
당기순이익,68.0,-2.0,-173.0,148.0,7.0,,,
당기순이익(지배),68.0,-2.0,-173.0,148.0,7.0,,,
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,
자산총계,2252.0,3575.0,2943.0,3040.0,3131.0,,,
부채총계,1420.0,2747.0,2286.0,2241.0,2320.0,,,
자본총계,832.0,827.0,658.0,799.0,811.0,,,
자본총계(지배),832.0,827.0,658.0,799.0,811.0,,,
자본총계(비지배),0.0,0.0,0.0,0.0,0.0,,,
자본금,50.0,50.0,50.0,50.0,50.0,,,
영업활동현금흐름,52.0,-25.0,-63.0,285.0,-134.0,,,
투자활동현금흐름,-155.0,-1310.0,364.0,27.0,-106.0,,,
재무활동현금흐름,287.0,1177.0,-285.0,-184.0,107.0,,,
CAPEX,278.0,1374.0,172.0,56.0,180.0,,,
FCF,-227.0,-1399.0,-235.0,229.0,-315.0,,,
이자발생부채,792.0,1971.0,1687.0,1506.0,1612.0,,,
영업이익률,5.23,-3.79,-5.85,7.07,2.71,,,
순이익률,3.45,-0.09,-9.42,6.48,0.32,,,
ROE(%),8.52,-0.21,-23.23,20.32,0.92,,,
ROA(%),3.35,-0.06,-5.29,4.95,0.24,,,
부채비율,170.73,332.02,347.48,280.45,285.93,,,
자본유보율,1507.65,1494.96,1159.1,1449.83,1471.37,,,
EPS(원),679.0,-17.0,-1725.0,1480.0,74.0,,,
PER(배),6.92,-241.12,-2.51,5.38,115.71,,,
BPS(원),8318.0,8274.0,6578.0,7991.0,8114.0,,,
PBR(배),0.56,0.5,0.66,1.0,1.06,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,,,
