주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2260.0,2656.0,2428.0,2341.0,2238.0,,,
영업이익,44.0,41.0,16.0,13.0,34.0,,,
영업이익(발표기준),44.0,41.0,16.0,13.0,34.0,,,
세전계속사업이익,49.0,39.0,27.0,14.0,37.0,,,
당기순이익,17.0,26.0,20.0,12.0,25.0,,,
당기순이익(지배),17.0,26.0,20.0,12.0,25.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1305.0,1148.0,1133.0,1028.0,1017.0,,,
부채총계,908.0,734.0,700.0,693.0,658.0,,,
자본총계,397.0,413.0,433.0,334.0,359.0,,,
자본총계(지배),397.0,413.0,433.0,334.0,359.0,,,
자본총계(비지배),,,,,,,,
자본금,138.0,138.0,138.0,102.0,102.0,,,
영업활동현금흐름,-73.0,103.0,53.0,36.0,24.0,,,
투자활동현금흐름,172.0,-1.0,1.0,5.0,-165.0,,,
재무활동현금흐름,-167.0,-37.0,-10.0,-9.0,20.0,,,
CAPEX,22.0,4.0,11.0,7.0,19.0,,,
FCF,-95.0,99.0,42.0,29.0,4.0,,,
이자발생부채,70.0,7.0,2.0,,23.0,,,
영업이익률,1.96,1.54,0.67,0.54,1.54,,,
순이익률,0.75,0.99,0.83,0.53,1.1,,,
ROE(%),4.47,6.49,4.74,3.21,7.11,,,
ROA(%),1.48,2.14,1.76,1.14,2.41,,,
부채비율,229.07,177.63,161.41,207.44,182.93,,,
자본유보율,189.16,200.03,209.71,232.1,256.51,,,
EPS(원),63.0,95.0,73.0,49.0,120.0,,,
PER(배),19.28,12.32,22.73,42.64,11.97,,,
BPS(원),1437.0,1498.0,1571.0,1631.0,1754.0,,,
PBR(배),0.85,0.78,1.05,1.28,0.82,,,
현금DPS(원),15.0,15.0,15.0,15.0,15.0,,,
현금배당수익률,1.23,1.28,0.91,0.72,1.04,,,
현금배당성향(%),24.38,15.74,20.62,24.98,12.47,,,
발행주식수(보통주),27590997.0,27590997.0,27590997.0,20493012.0,20493012.0,,,
