주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,4414.0,8360.0,10856.0,14382.0,10644.0,,,
영업이익,-202.0,247.0,419.0,519.0,247.0,,,
영업이익(발표기준),-202.0,247.0,419.0,519.0,247.0,,,
세전계속사업이익,-1414.0,66.0,301.0,492.0,335.0,,,
당기순이익,-1311.0,31.0,160.0,378.0,290.0,,,
당기순이익(지배),-1311.0,31.0,160.0,378.0,290.0,,,
당기순이익(비지배),,,,,,,,
자산총계,5515.0,6727.0,6786.0,7345.0,6786.0,,,
부채총계,5235.0,6445.0,5856.0,6065.0,5189.0,,,
자본총계,280.0,282.0,930.0,1280.0,1597.0,,,
자본총계(지배),280.0,282.0,930.0,1280.0,1597.0,,,
자본총계(비지배),,,,,,,,
자본금,200.0,200.0,200.0,200.0,200.0,,,
영업활동현금흐름,690.0,205.0,779.0,206.0,-623.0,,,
투자활동현금흐름,-1359.0,-59.0,-45.0,-70.0,-73.0,,,
재무활동현금흐름,897.0,-396.0,-635.0,73.0,413.0,,,
CAPEX,217.0,18.0,34.0,48.0,70.0,,,
FCF,473.0,188.0,744.0,157.0,-693.0,,,
이자발생부채,2469.0,1586.0,,0.0,700.0,,,
영업이익률,-4.58,2.95,3.86,3.61,2.32,,,
순이익률,-29.71,0.38,1.47,2.63,2.73,,,
ROE(%),-139.42,11.16,26.35,34.22,20.18,,,
ROA(%),-23.16,0.51,2.36,5.35,4.11,,,
부채비율,1871.54,2282.87,629.87,473.95,324.96,,,
자본유보율,21.84,22.93,98.0,271.85,386.31,,,
EPS(원),-32783.0,784.0,3993.0,9450.0,7256.0,,,
PER(배),-0.3,38.08,10.52,4.66,3.62,,,
BPS(원),6993.0,7058.0,23244.0,31991.0,39918.0,,,
PBR(배),1.39,4.23,1.81,1.38,0.66,,,
현금DPS(원),0.0,0.0,250.0,500.0,750.0,,,
현금배당수익률,0.0,0.0,0.6,1.14,2.86,,,
현금배당성향(%),0.0,0.0,6.26,5.29,10.34,,,
발행주식수(보통주),4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,,
