주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016,2017,2018(E),2019(E),2020(E)
매출액,,,,,11172.0,20376.0,21854.0,23176.0
영업이익,,,,,1074.0,2955.0,3300.0,3603.0
영업이익(발표기준),,,,,1074.0,,,
세전계속사업이익,,,,,1051.0,2862.0,3211.0,3503.0
당기순이익,,,,,767.0,2178.0,2436.0,2661.0
당기순이익(지배),,,,,756.0,2153.0,2414.0,2636.0
당기순이익(비지배),,,,,11.0,,,
자산총계,,,,,22580.0,25006.0,27224.0,29463.0
부채총계,,,,,9131.0,9456.0,9586.0,9459.0
자본총계,,,,,13449.0,15305.0,17409.0,19698.0
자본총계(지배),,,,,13082.0,14869.0,16910.0,19165.0
자본총계(비지배),,,,,367.0,,,
자본금,,,,,198.0,199.0,199.0,199.0
영업활동현금흐름,,,,,1932.0,3400.0,3582.0,3875.0
투자활동현금흐름,,,,,-170.0,-1708.0,-1634.0,-1664.0
재무활동현금흐름,,,,,-1553.0,-340.0,-435.0,-632.0
CAPEX,,,,,898.0,1629.0,1633.0,1684.0
FCF,,,,,1035.0,2287.0,2151.0,2319.0
이자발생부채,,,,,5997.0,,,
영업이익률,,,,,9.62,14.5,15.1,15.54
순이익률,,,,,6.86,10.69,11.14,11.48
ROE(%),,,,,,15.41,15.19,14.61
ROA(%),,,,,,9.15,9.33,9.39
부채비율,,,,,67.89,61.78,55.06,48.02
자본유보율,,,,,3411.4,,,
EPS(원),,,,,3261.0,5446.0,6105.0,6668.0
PER(배),,,,,32.05,19.65,17.53,16.05
BPS(원),,,,,33098.0,37617.0,42780.0,48487.0
PBR(배),,,,,3.16,2.84,2.5,2.21
현금DPS(원),,,,,600.0,793.0,839.0,885.0
현금배당수익률,,,,,0.57,0.74,0.78,0.83
현금배당성향(%),,,,,31.38,0.15,0.14,0.13
발행주식수(보통주),,,,,39533501.0,,,
