주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2833.0,3511.0,4613.0,7197.0,8884.0,10644.0,12401.0,14075.0
영업이익,71.0,169.0,297.0,523.0,969.0,1211.0,1357.0,1580.0
영업이익(발표기준),71.0,169.0,297.0,523.0,969.0,,,
세전계속사업이익,52.0,161.0,292.0,506.0,965.0,1162.0,1341.0,1571.0
당기순이익,42.0,131.0,227.0,393.0,741.0,887.0,1024.0,1195.0
당기순이익(지배),42.0,131.0,227.0,393.0,741.0,887.0,1024.0,1195.0
당기순이익(비지배),,,,,,,,
자산총계,886.0,1267.0,2035.0,3023.0,4983.0,6138.0,7464.0,8841.0
부채총계,709.0,967.0,1522.0,2243.0,2665.0,3012.0,3374.0,3604.0
자본총계,178.0,300.0,513.0,779.0,2318.0,3127.0,4091.0,5236.0
자본총계(지배),178.0,300.0,513.0,779.0,2318.0,2826.0,3703.0,4733.0
자본총계(비지배),,,,,,,,
자본금,270.0,270.0,270.0,270.0,300.0,300.0,300.0,300.0
영업활동현금흐름,254.0,326.0,602.0,694.0,1247.0,1213.0,1404.0,1536.0
투자활동현금흐름,-143.0,-65.0,-282.0,-773.0,-1714.0,-692.0,-825.0,-823.0
재무활동현금흐름,-60.0,-38.0,-40.0,-232.0,588.0,25.0,-45.0,-10.0
CAPEX,4.0,5.0,9.0,9.0,77.0,228.0,333.0,323.0
FCF,250.0,322.0,592.0,685.0,1169.0,1011.0,1108.0,1244.0
이자발생부채,152.0,141.0,128.0,472.0,457.0,,,
영업이익률,2.51,4.81,6.43,7.26,10.91,11.38,10.95,11.22
순이익률,1.49,3.73,4.92,5.46,8.34,8.34,8.25,8.49
ROE(%),27.18,54.77,55.82,60.86,47.84,34.49,31.35,28.33
ROA(%),5.32,12.15,13.75,15.55,18.51,15.96,15.05,14.66
부채비율,399.01,322.43,296.36,287.94,114.96,96.31,82.46,68.83
자본유보율,-34.21,11.12,90.18,188.8,673.36,,,
EPS(원),156.0,484.0,841.0,1457.0,2721.0,2957.0,3412.0,3983.0
PER(배),,,,,9.74,7.22,6.26,5.36
BPS(원),658.0,1111.0,1902.0,2886.0,7727.0,9420.0,12345.0,15777.0
PBR(배),0.0,0.0,0.0,0.0,3.43,2.27,1.73,1.35
현금DPS(원),0.0,0.0,400.0,500.0,250.0,283.0,315.0,340.0
현금배당수익률,,,,,0.94,1.33,1.48,1.59
현금배당성향(%),0.0,0.0,47.57,34.32,10.12,0.1,0.09,0.09
발행주식수(보통주),27000000.0,27000000.0,27000000.0,27000000.0,30000000.0,,,
