주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1137.0,1223.0,1216.0,1462.0,1729.0,,,
영업이익,-41.0,-105.0,-68.0,98.0,129.0,,,
영업이익(발표기준),-41.0,-105.0,-68.0,98.0,129.0,,,
세전계속사업이익,-101.0,-181.0,-179.0,46.0,99.0,,,
당기순이익,-100.0,-181.0,-179.0,46.0,99.0,,,
당기순이익(지배),-100.0,-181.0,-179.0,46.0,99.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1015.0,1049.0,985.0,1001.0,959.0,,,
부채총계,817.0,996.0,864.0,836.0,699.0,,,
자본총계,198.0,53.0,121.0,165.0,260.0,,,
자본총계(지배),198.0,53.0,121.0,165.0,260.0,,,
자본총계(비지배),,,,,,,,
자본금,308.0,338.0,131.0,131.0,131.0,,,
영업활동현금흐름,70.0,-87.0,-91.0,79.0,230.0,,,
투자활동현금흐름,54.0,-21.0,-17.0,-6.0,-11.0,,,
재무활동현금흐름,-93.0,73.0,137.0,-80.0,-171.0,,,
CAPEX,8.0,22.0,18.0,12.0,13.0,,,
FCF,63.0,-108.0,-109.0,67.0,217.0,,,
이자발생부채,636.0,752.0,721.0,683.0,551.0,,,
영업이익률,-3.61,-8.59,-5.62,6.73,7.49,,,
순이익률,-8.81,-14.79,-14.69,3.17,5.71,,,
ROE(%),-53.87,-144.65,-205.31,32.34,46.45,,,
ROA(%),-9.67,-17.54,-17.55,4.67,10.08,,,
부채비율,413.63,1893.49,712.27,505.75,268.98,,,
자본유보율,-32.4,-84.42,-7.54,25.92,98.01,,,
EPS(원),-965.0,-1468.0,-1311.0,176.0,376.0,,,
PER(배),-5.67,-1.92,-2.23,23.1,8.51,,,
BPS(원),1604.0,389.0,462.0,629.0,990.0,,,
PBR(배),3.41,7.26,6.33,6.48,3.23,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),12317933.0,12317933.0,12317933.0,12317933.0,12317933.0,,,
