주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,5354.0,5048.0,5209.0,5542.0,5313.0,5692.0,6280.0,6761.0
영업이익,472.0,103.0,202.0,111.0,-80.0,33.0,222.0,259.0
영업이익(발표기준),472.0,103.0,202.0,111.0,-80.0,,,
세전계속사업이익,445.0,88.0,159.0,70.0,-118.0,-7.0,159.0,198.0
당기순이익,334.0,26.0,65.0,2.0,-149.0,-18.0,126.0,156.0
당기순이익(지배),334.0,96.0,156.0,37.0,-140.0,-16.0,128.0,159.0
당기순이익(비지배),,-71.0,-92.0,-35.0,-8.0,,,
자산총계,4676.0,5216.0,5063.0,5511.0,4833.0,5095.0,5219.0,5428.0
부채총계,2602.0,3230.0,3082.0,3530.0,3102.0,3444.0,3474.0,3562.0
자본총계,2073.0,1986.0,1981.0,1981.0,1731.0,1651.0,1745.0,1866.0
자본총계(지배),1994.0,1978.0,1967.0,1976.0,1727.0,1649.0,1746.0,1869.0
자본총계(비지배),79.0,8.0,14.0,4.0,5.0,,,
자본금,413.0,413.0,413.0,413.0,413.0,413.0,413.0,413.0
영업활동현금흐름,416.0,285.0,488.0,-1.0,67.0,-77.0,237.0,247.0
투자활동현금흐름,-373.0,-640.0,-312.0,-105.0,110.0,-241.0,-52.0,-53.0
재무활동현금흐름,0.0,503.0,-132.0,114.0,-90.0,35.0,-32.0,-42.0
CAPEX,244.0,767.0,291.0,190.0,391.0,200.0,38.0,34.0
FCF,172.0,-482.0,198.0,-191.0,-324.0,-119.0,288.0,262.0
이자발생부채,1507.0,2104.0,2030.0,2245.0,2154.0,,,
영업이익률,8.81,2.04,3.87,1.99,-1.51,0.58,3.54,3.83
순이익률,6.24,0.51,1.24,0.04,-2.8,-0.32,2.01,2.31
ROE(%),18.15,4.84,7.92,1.89,-7.59,-0.95,7.54,8.8
ROA(%),8.26,0.52,1.26,0.05,-2.88,-0.36,2.44,2.93
부채비율,125.53,162.61,155.55,178.24,179.16,208.6,199.08,190.89
자본유보율,388.11,392.34,409.48,396.74,353.35,,,
EPS(원),809.0,233.0,379.0,90.0,-340.0,-39.0,310.0,385.0
PER(배),8.43,20.41,12.19,47.03,-12.41,-103.82,12.98,10.45
BPS(원),4904.0,4965.0,4937.0,4970.0,4383.0,4186.0,4432.0,4744.0
PBR(배),1.39,0.96,0.93,0.85,0.96,0.96,0.91,0.85
현금DPS(원),100.0,80.0,90.0,100.0,70.0,80.0,90.0,100.0
현금배당수익률,1.47,1.68,1.95,2.36,1.66,1.99,2.24,2.48
현금배당성향(%),12.18,33.16,22.94,106.89,-19.63,-2.06,0.29,0.26
발행주식수(보통주),41268398.0,41268398.0,41268398.0,41268398.0,41268398.0,,,
