주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3669.0,3520.0,3504.0,3779.0,5657.0,,,
영업이익,146.0,159.0,20.0,90.0,33.0,,,
영업이익(발표기준),146.0,159.0,20.0,90.0,33.0,,,
세전계속사업이익,187.0,187.0,-65.0,-615.0,-14.0,,,
당기순이익,142.0,146.0,-123.0,-584.0,-7.0,,,
당기순이익(지배),142.0,146.0,-81.0,-561.0,0.0,,,
당기순이익(비지배),,,-42.0,-23.0,-7.0,,,
자산총계,5682.0,4716.0,6220.0,7288.0,6332.0,,,
부채총계,2042.0,1714.0,2480.0,4157.0,3208.0,,,
자본총계,3639.0,3002.0,3740.0,3131.0,3124.0,,,
자본총계(지배),3639.0,3002.0,3694.0,3109.0,3075.0,,,
자본총계(비지배),,,46.0,23.0,49.0,,,
자본금,354.0,354.0,354.0,354.0,354.0,,,
영업활동현금흐름,246.0,329.0,118.0,33.0,300.0,,,
투자활동현금흐름,-317.0,-71.0,-204.0,108.0,3.0,,,
재무활동현금흐름,70.0,-260.0,118.0,-176.0,-313.0,,,
CAPEX,351.0,166.0,189.0,199.0,71.0,,,
FCF,-104.0,163.0,-71.0,-166.0,228.0,,,
이자발생부채,1203.0,998.0,1673.0,2433.0,2341.0,,,
영업이익률,3.97,4.52,0.58,2.39,0.59,,,
순이익률,3.87,4.14,-3.52,-15.45,-0.12,,,
ROE(%),4.01,4.39,,-16.48,0.0,,,
ROA(%),2.57,2.8,,-8.64,-0.1,,,
부채비율,56.12,57.1,66.31,132.75,102.67,,,
자본유보율,912.68,736.08,929.59,770.23,766.38,,,
EPS(원),200.0,206.0,-115.0,-792.0,0.0,,,
PER(배),10.8,10.83,-27.61,-3.99,31885.44,,,
BPS(원),5140.0,4240.0,5217.0,4390.0,4396.0,,,
PBR(배),0.42,0.53,0.61,0.72,0.57,,,
현금DPS(원),25.0,30.0,8.0,8.0,8.0,,,
현금배당수익률,1.15,1.35,0.25,0.25,0.32,,,
현금배당성향(%),12.47,14.57,-6.97,-1.01,10140.5,,,
발행주식수(보통주),70805940.0,70805940.0,70805940.0,70805940.0,70805940.0,,,
