주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,33914.0,42496.0,46985.0,74295.0,71397.0,,,
영업이익,993.0,1206.0,2122.0,-298.0,2466.0,,,
영업이익(발표기준),993.0,1206.0,2122.0,-298.0,2466.0,,,
세전계속사업이익,1044.0,2111.0,2057.0,-321.0,2519.0,1340.0,1850.0,1970.0
당기순이익,761.0,1670.0,1605.0,148.0,1928.0,1010.0,1400.0,1490.0
당기순이익(지배),774.0,1644.0,1579.0,120.0,1900.0,1010.0,1400.0,1490.0
당기순이익(비지배),-13.0,26.0,26.0,28.0,28.0,,,
자산총계,180635.0,204257.0,226209.0,267208.0,303439.0,321040.0,342950.0,364210.0
부채총계,167097.0,186198.0,206282.0,248851.0,278915.0,297820.0,318860.0,339210.0
자본총계,13538.0,18060.0,19927.0,18357.0,24524.0,23230.0,24080.0,24990.0
자본총계(지배),13382.0,17714.0,19651.0,18129.0,24163.0,22990.0,23850.0,24760.0
자본총계(비지배),155.0,345.0,276.0,229.0,361.0,,,
자본금,5379.0,5379.0,5379.0,5379.0,8068.0,,,
영업활동현금흐름,6910.0,6968.0,9221.0,40166.0,29845.0,,,
투자활동현금흐름,-11901.0,-4160.0,-9586.0,-39433.0,-35261.0,,,
재무활동현금흐름,-444.0,-2181.0,-565.0,-641.0,5056.0,,,
CAPEX,45.0,79.0,46.0,55.0,60.0,,,
FCF,,,,,,,,
이자발생부채,0.0,0.0,0.0,0.0,0.0,,,
영업이익률,2.93,2.84,4.52,-0.4,3.45,,,
순이익률,2.25,3.93,3.42,0.2,2.7,,,
ROE(%),5.19,10.74,8.59,0.78,9.12,4.28,5.98,6.13
ROA(%),0.43,0.87,0.75,0.06,0.68,0.32,0.42,0.42
부채비율,1234.32,1031.02,1035.18,1355.61,1137.31,1282.05,1324.17,1357.38
자본유보율,158.98,247.07,281.79,252.6,211.51,,,
EPS(원),720.0,1529.0,1468.0,112.0,1277.0,626.0,868.0,923.0
PER(배),15.77,7.03,7.94,113.87,5.95,10.5,7.57,7.11
BPS(원),12859.0,17355.0,19252.0,17760.0,15503.0,14751.0,15302.0,15886.0
PBR(배),0.88,0.62,0.61,0.72,0.49,0.45,0.43,0.41
현금DPS(원),200.0,550.0,620.0,200.0,360.0,238.0,284.0,335.0
현금배당수익률,1.76,5.12,5.32,1.57,4.74,3.62,4.32,5.1
현금배당성향(%),26.88,34.14,40.08,170.16,29.53,0.38,0.33,0.36
발행주식수(보통주),107572390.0,107572390.0,107572390.0,107572390.0,161358585.0,,,
