주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,703.0,793.0,708.0,576.0,496.0,,,
영업이익,51.0,61.0,29.0,13.0,-7.0,,,
영업이익(발표기준),51.0,61.0,29.0,13.0,-7.0,,,
세전계속사업이익,50.0,66.0,30.0,14.0,-6.0,,,
당기순이익,36.0,52.0,26.0,13.0,-3.0,,,
당기순이익(지배),36.0,52.0,26.0,13.0,-3.0,,,
당기순이익(비지배),,,,,,,,
자산총계,443.0,460.0,425.0,433.0,412.0,,,
부채총계,170.0,162.0,123.0,127.0,119.0,,,
자본총계,273.0,299.0,302.0,306.0,293.0,,,
자본총계(지배),273.0,299.0,302.0,306.0,293.0,,,
자본총계(비지배),,,,,,,,
자본금,60.0,60.0,60.0,60.0,60.0,,,
영업활동현금흐름,47.0,29.0,23.0,19.0,12.0,,,
투자활동현금흐름,-23.0,1.0,-2.0,-21.0,6.0,,,
재무활동현금흐름,-19.0,-24.0,-23.0,-12.0,-9.0,,,
CAPEX,10.0,13.0,6.0,4.0,4.0,,,
FCF,37.0,16.0,17.0,15.0,8.0,,,
이자발생부채,1.0,1.0,1.0,1.0,0.0,,,
영업이익률,7.27,7.63,4.04,2.23,-1.35,,,
순이익률,5.1,6.62,3.63,2.28,-0.68,,,
ROE(%),13.58,18.34,8.54,4.32,-1.13,,,
ROA(%),8.44,11.61,5.8,3.06,-0.8,,,
부채비율,62.29,54.03,40.86,41.44,40.73,,,
자본유보율,355.36,398.19,403.23,409.82,388.24,,,
EPS(원),298.0,437.0,214.0,109.0,-28.0,,,
PER(배),6.7,8.94,15.43,34.29,-81.05,,,
BPS(원),2277.0,2491.0,2516.0,2549.0,2441.0,,,
PBR(배),0.88,1.57,1.31,1.47,0.94,,,
현금DPS(원),185.0,215.0,125.0,75.0,,,,
현금배당수익률,9.25,5.5,3.79,2.0,,,,
현금배당성향(%),61.99,49.17,58.43,68.58,,,,
발행주식수(보통주),12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,,,
