주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,1097.0,1121.0,1145.0,1218.0,1263.0,,,
영업이익,174.0,167.0,198.0,155.0,167.0,,,
영업이익(발표기준),174.0,167.0,198.0,155.0,167.0,,,
세전계속사업이익,183.0,151.0,206.0,151.0,170.0,,,
당기순이익,113.0,116.0,113.0,118.0,134.0,,,
당기순이익(지배),113.0,116.0,113.0,118.0,134.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1784.0,1912.0,2609.0,2239.0,3057.0,,,
부채총계,380.0,357.0,431.0,304.0,712.0,,,
자본총계,1404.0,1555.0,2178.0,1934.0,2345.0,,,
자본총계(지배),1404.0,1555.0,2178.0,1934.0,2345.0,,,
자본총계(비지배),,,,,,,,
자본금,64.0,64.0,64.0,64.0,84.0,,,
영업활동현금흐름,-4.0,151.0,129.0,109.0,175.0,,,
투자활동현금흐름,-95.0,-73.0,39.0,-81.0,-515.0,,,
재무활동현금흐름,77.0,-59.0,-160.0,-39.0,331.0,,,
CAPEX,6.0,22.0,11.0,24.0,46.0,,,
FCF,-10.0,129.0,118.0,85.0,128.0,,,
이자발생부채,208.0,148.0,20.0,20.0,340.0,,,
영업이익률,15.89,14.92,17.32,12.7,13.22,,,
순이익률,10.29,10.34,9.9,9.68,10.63,,,
ROE(%),8.47,7.84,6.07,5.73,,,,
ROA(%),6.74,6.27,5.01,4.87,,,,
부채비율,27.07,22.98,19.79,15.74,30.35,,,
자본유보율,1878.01,2027.75,2153.53,2276.35,1892.05,,,
EPS(원),673.0,691.0,676.0,703.0,800.0,,,
PER(배),20.46,23.27,43.14,31.85,26.86,,,
BPS(원),8372.0,9273.0,12989.0,11534.0,13986.0,,,
PBR(배),1.65,1.73,2.25,1.94,1.54,,,
현금DPS(원),115.0,192.0,231.0,269.0,350.0,,,
현금배당수익률,0.84,1.2,0.79,1.2,1.63,,,
현금배당성향(%),17.13,27.82,34.13,38.29,43.72,,,
발행주식수(보통주),16770000.0,16770000.0,16770000.0,16770000.0,16770000.0,,,
