주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,14886.0,22289.0,34411.0,41346.0,35484.0,,,
영업이익,-117.0,478.0,1701.0,833.0,1330.0,,,
영업이익(발표기준),-117.0,478.0,1701.0,833.0,1330.0,,,
세전계속사업이익,225.0,520.0,1807.0,861.0,1513.0,,,
당기순이익,151.0,437.0,1362.0,740.0,1159.0,,,
당기순이익(지배),151.0,437.0,1362.0,740.0,1159.0,1340.0,1450.0,
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,
자산총계,138241.0,182217.0,186860.0,176926.0,174468.0,,,
부채총계,121895.0,165788.0,169545.0,159145.0,155789.0,,,
자본총계,16346.0,16429.0,17315.0,17781.0,18679.0,,,
자본총계(지배),16345.0,16428.0,17314.0,17780.0,18677.0,,,
자본총계(비지배),1.0,1.0,1.0,1.0,2.0,,,
자본금,4349.0,4349.0,4349.0,4349.0,4349.0,,,
영업활동현금흐름,-1516.0,-2265.0,3424.0,-7944.0,-6436.0,,,
투자활동현금흐름,499.0,-3033.0,-347.0,1953.0,-1866.0,,,
재무활동현금흐름,1188.0,5096.0,-3092.0,7190.0,8439.0,,,
CAPEX,390.0,971.0,488.0,1013.0,767.0,,,
FCF,,,,,,,,
이자발생부채,12336.0,28657.0,29671.0,33973.0,41038.0,,,
영업이익률,-0.79,2.14,4.94,2.02,3.75,,,
순이익률,1.01,1.96,3.96,1.79,3.27,,,
ROE(%),0.92,2.67,8.07,4.22,6.36,,,
ROA(%),0.11,0.27,0.74,0.41,0.66,,,
부채비율,745.72,1009.12,979.17,895.05,834.04,,,
자본유보율,309.78,315.53,340.94,350.75,370.72,,,
EPS(원),174.0,503.0,1569.0,853.0,1336.0,1544.0,1671.0,
PER(배),45.08,18.85,7.55,12.19,10.78,7.9,7.3,
BPS(원),21596.0,22404.0,24390.0,24952.0,26135.0,,,
PBR(배),0.36,0.42,0.49,0.42,0.55,,,
현금DPS(원),200.0,250.0,500.0,550.0,610.0,660.0,680.0,
현금배당수익률,2.55,2.63,4.22,5.29,4.24,5.41,5.57,
현금배당성향(%),107.65,44.48,26.85,54.39,38.54,0.25,0.24,
발행주식수(보통주),50773400.0,50773400.0,50773400.0,50773400.0,50773400.0,,,
