주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,886.0,1111.0,1260.0,1323.0,1436.0,1590.0,1906.0,2508.0
영업이익,79.0,146.0,187.0,216.0,238.0,224.0,348.0,524.0
영업이익(발표기준),79.0,146.0,187.0,216.0,238.0,,,
세전계속사업이익,37.0,122.0,160.0,192.0,215.0,204.0,332.0,511.0
당기순이익,16.0,94.0,129.0,152.0,168.0,156.0,262.0,408.0
당기순이익(지배),16.0,94.0,129.0,152.0,168.0,156.0,262.0,408.0
당기순이익(비지배),,,,,,,,
자산총계,1542.0,1638.0,1799.0,1922.0,1985.0,2102.0,2256.0,2649.0
부채총계,847.0,869.0,970.0,1019.0,964.0,1062.0,1072.0,1177.0
자본총계,695.0,769.0,828.0,903.0,1021.0,1040.0,1183.0,1472.0
자본총계(지배),695.0,769.0,828.0,903.0,1021.0,1040.0,1183.0,1472.0
자본총계(비지배),,,,,,,,
자본금,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0
영업활동현금흐름,108.0,138.0,259.0,161.0,220.0,275.0,283.0,460.0
투자활동현금흐름,-42.0,-113.0,-247.0,-113.0,-90.0,-74.0,-174.0,-122.0
재무활동현금흐름,-65.0,-26.0,-4.0,-53.0,-131.0,-52.0,-96.0,-118.0
CAPEX,30.0,77.0,231.0,134.0,88.0,74.0,172.0,118.0
FCF,78.0,62.0,28.0,27.0,133.0,216.0,269.0,484.0
이자발생부채,638.0,619.0,676.0,687.0,604.0,,,
영업이익률,8.94,13.15,14.81,16.35,16.56,14.09,18.29,20.89
순이익률,1.84,8.42,10.21,11.46,11.69,9.84,13.78,16.27
ROE(%),2.37,12.78,16.1,17.51,17.45,15.19,23.62,30.73
ROA(%),1.05,5.88,7.49,8.15,8.59,7.66,12.05,16.63
부채비율,121.79,112.95,117.16,112.89,94.45,102.16,90.66,79.93
자본유보율,75.67,94.36,109.24,128.11,157.92,,,
EPS(원),123.0,591.0,812.0,958.0,1060.0,988.0,1658.0,2577.0
PER(배),,,,14.28,19.86,26.76,15.96,10.27
BPS(원),4392.0,4859.0,5231.0,5703.0,6448.0,6565.0,7471.0,9299.0
PBR(배),0.0,0.0,0.0,2.4,3.26,4.03,3.54,2.84
현금DPS(원),46.0,386.0,404.0,300.0,500.0,625.0,750.0,750.0
현금배당수익률,,,,2.19,2.38,2.36,2.84,2.84
현금배당성향(%),45.25,65.27,49.75,31.33,47.18,0.63,0.45,0.29
발행주식수(보통주),15834554.0,15834554.0,15834554.0,15834554.0,15834554.0,,,
