주요재무정보,2013,2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,7372.0,6909.0,5126.0,4909.0,5121.0,5819.0,6233.0,6680.0
영업이익,10.0,242.0,268.0,288.0,306.0,373.0,415.0,460.0
영업이익(발표기준),10.0,242.0,268.0,288.0,306.0,,,
세전계속사업이익,106.0,374.0,401.0,403.0,454.0,461.0,513.0,570.0
당기순이익,84.0,302.0,306.0,234.0,356.0,364.0,405.0,450.0
당기순이익(지배),84.0,302.0,306.0,234.0,356.0,364.0,405.0,450.0
당기순이익(비지배),,,,,,,,
자산총계,5306.0,5473.0,5254.0,5577.0,6071.0,6000.0,6270.0,6660.0
부채총계,1018.0,1093.0,692.0,909.0,870.0,800.0,820.0,900.0
자본총계,4288.0,4380.0,4562.0,4668.0,5201.0,5200.0,5460.0,5760.0
자본총계(지배),4288.0,4380.0,4562.0,4668.0,5201.0,5200.0,5460.0,5760.0
자본총계(비지배),,,,,,,,
자본금,244.0,244.0,244.0,244.0,244.0,240.0,240.0,240.0
영업활동현금흐름,802.0,833.0,968.0,461.0,689.0,770.0,890.0,880.0
투자활동현금흐름,-658.0,-640.0,-705.0,-493.0,-576.0,-430.0,-780.0,-840.0
재무활동현금흐름,-125.0,-123.0,-125.0,-125.0,-62.0,-40.0,-150.0,-150.0
CAPEX,507.0,555.0,545.0,247.0,559.0,520.0,680.0,730.0
FCF,295.0,278.0,423.0,214.0,130.0,400.0,170.0,110.0
이자발생부채,2.0,,,,63.0,,,
영업이익률,0.14,3.51,5.23,5.86,5.97,6.41,6.66,6.89
순이익률,1.14,4.37,5.97,4.76,6.95,6.25,6.5,6.74
ROE(%),1.95,7.01,6.84,5.06,7.22,7.0,7.6,8.02
ROA(%),1.55,5.67,5.71,4.32,6.11,6.03,6.6,6.96
부채비율,23.74,24.96,15.17,19.46,16.73,15.38,15.02,15.63
자본유보율,1821.25,1886.2,1973.72,2000.6,2101.53,,,
EPS(원),172.0,619.0,627.0,479.0,730.0,746.0,830.0,922.0
PER(배),48.4,14.5,12.14,17.04,13.51,11.18,10.05,9.04
BPS(원),10296.0,10517.0,10954.0,11210.0,12488.0,12486.0,13111.0,13831.0
PBR(배),0.81,0.85,0.69,0.73,0.79,0.67,0.64,0.6
현금DPS(원),300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
현금배당수익률,3.6,3.34,3.94,3.68,3.04,3.6,3.6,3.6
현금배당성향(%),148.76,41.35,40.83,53.47,35.09,0.4,0.36,0.33
발행주식수(보통주),48796300.0,48796300.0,48796300.0,48796300.0,48796300.0,,,
