주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1433.0,1282.0,1119.0,1113.0,1558.0,,,
영업이익,22.0,-8.0,-60.0,61.0,45.0,,,
영업이익(발표기준),23.0,16.0,-130.0,61.0,45.0,,,
세전계속사업이익,55.0,-15.0,-132.0,61.0,97.0,,,
당기순이익,42.0,-35.0,-126.0,47.0,94.0,,,
당기순이익(지배),44.0,-30.0,-113.0,51.0,96.0,,,
당기순이익(비지배),-2.0,-5.0,-12.0,-4.0,-3.0,,,
자산총계,3150.0,3152.0,3428.0,2999.0,3199.0,,,
부채총계,1485.0,1522.0,1919.0,1447.0,1558.0,,,
자본총계,1665.0,1630.0,1509.0,1552.0,1641.0,,,
자본총계(지배),1620.0,1584.0,1470.0,1518.0,1612.0,,,
자본총계(비지배),45.0,46.0,39.0,34.0,29.0,,,
자본금,102.0,102.0,102.0,102.0,102.0,,,
영업활동현금흐름,19.0,114.0,43.0,49.0,38.0,,,
투자활동현금흐름,1.0,-125.0,-538.0,491.0,-113.0,,,
재무활동현금흐름,-31.0,22.0,411.0,-539.0,103.0,,,
CAPEX,6.0,12.0,227.0,84.0,115.0,,,
FCF,13.0,102.0,-183.0,-34.0,-77.0,,,
이자발생부채,968.0,1011.0,1470.0,941.0,1003.0,,,
영업이익률,1.5,-0.62,-5.34,5.47,2.88,,,
순이익률,2.92,-2.76,-11.22,4.24,6.01,,,
ROE(%),2.73,-1.88,-7.42,3.4,6.16,,,
ROA(%),1.34,-1.12,-3.82,1.47,3.02,,,
부채비율,89.21,93.32,127.13,93.27,94.95,,,
자본유보율,1521.51,1484.15,1371.6,1421.47,1514.12,,,
EPS(원),2138.0,-1480.0,-5557.0,2494.0,4729.0,,,
PER(배),6.34,-10.0,-3.3,10.02,5.59,,,
BPS(원),89709.0,87741.0,81423.0,84085.0,89294.0,,,
PBR(배),0.15,0.17,0.23,0.3,0.3,,,
현금DPS(원),400.0,150.0,0.0,350.0,350.0,,,
현금배당수익률,2.95,1.01,0.0,1.4,1.32,,,
현금배당성향(%),16.56,-8.97,0.0,12.42,6.55,,,
발행주식수(보통주),2040000.0,2040000.0,2040000.0,2040000.0,2040000.0,,,
