주요재무정보,2013,2014,2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,7050.0,7110.0,6333.0,5298.0,4701.0,,,
영업이익,-562.0,73.0,50.0,41.0,107.0,,,
영업이익(발표기준),-562.0,73.0,50.0,41.0,107.0,,,
세전계속사업이익,-5300.0,-573.0,359.0,-187.0,-81.0,,,
당기순이익,-9321.0,-744.0,350.0,-280.0,-60.0,,,
당기순이익(지배),-8332.0,-744.0,350.0,-280.0,-60.0,,,
당기순이익(비지배),-988.0,,,,,,,
자산총계,12325.0,9940.0,9336.0,8302.0,8178.0,,,
부채총계,12986.0,10365.0,8105.0,7230.0,7177.0,,,
자본총계,-660.0,-424.0,1231.0,1073.0,1000.0,,,
자본총계(지배),-660.0,-424.0,1231.0,1073.0,1000.0,,,
자본총계(비지배),0.0,0.0,,,,,,
자본금,1230.0,1230.0,691.0,691.0,691.0,,,
영업활동현금흐름,-55.0,1257.0,533.0,320.0,664.0,,,
투자활동현금흐름,-127.0,319.0,-174.0,-178.0,-401.0,,,
재무활동현금흐름,-349.0,-1121.0,172.0,-383.0,-412.0,,,
CAPEX,50.0,49.0,72.0,91.0,141.0,,,
FCF,-106.0,1208.0,461.0,229.0,523.0,,,
이자발생부채,6896.0,5113.0,4695.0,4406.0,4166.0,,,
영업이익률,-7.97,1.03,0.8,0.78,2.28,,,
순이익률,-132.2,-10.46,5.53,-5.27,-1.28,,,
ROE(%),-302.65,137.16,85.3,,-5.8,,,
ROA(%),-41.92,-6.68,3.63,,-0.73,,,
부채비율,-1966.36,-2442.36,658.41,674.01,717.59,,,
자본유보율,-194.04,-246.84,44.37,-40.46,-49.66,,,
EPS(원),-196926.0,-12098.0,1562.0,-1011.0,-218.0,,,
PER(배),-0.19,-2.32,4.35,-6.56,-42.07,,,
BPS(원),-10739.0,-6901.0,4453.0,3880.0,3618.0,,,
PBR(배),-3.43,-4.07,1.53,1.71,2.53,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),6149804.0,6149804.0,23008904.0,23008904.0,23008904.0,,,
