주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1249.0,1603.0,1689.0,2848.0,3307.0,3670.0,3850.0,4170.0
영업이익,358.0,334.0,156.0,-123.0,-73.0,150.0,260.0,320.0
영업이익(발표기준),358.0,334.0,156.0,-123.0,-73.0,,,
세전계속사업이익,315.0,317.0,116.0,-236.0,-138.0,264.0,191.0,260.0
당기순이익,122.0,245.0,85.0,-187.0,-107.0,150.0,140.0,190.0
당기순이익(지배),122.0,245.0,85.0,-187.0,-107.0,150.0,140.0,190.0
당기순이익(비지배),,,,,,,,
자산총계,3765.0,4085.0,5118.0,4840.0,4893.0,4920.0,5080.0,5320.0
부채총계,1184.0,1247.0,2316.0,2381.0,2484.0,2410.0,2440.0,2530.0
자본총계,2581.0,2838.0,2802.0,2459.0,2410.0,2510.0,2640.0,2790.0
자본총계(지배),2581.0,2838.0,2802.0,2459.0,2410.0,2510.0,2640.0,2790.0
자본총계(비지배),,,,,,,,
자본금,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
영업활동현금흐름,378.0,251.0,376.0,-386.0,64.0,160.0,370.0,460.0
투자활동현금흐름,-772.0,-220.0,-484.0,-381.0,115.0,-360.0,-320.0,-400.0
재무활동현금흐름,-41.0,-68.0,633.0,209.0,95.0,-60.0,-50.0,-60.0
CAPEX,103.0,49.0,465.0,315.0,99.0,230.0,220.0,240.0
FCF,275.0,203.0,-90.0,-700.0,-35.0,,,
이자발생부채,,,660.0,952.0,1083.0,,,
영업이익률,28.67,20.84,9.24,-4.32,-2.2,4.09,6.75,7.67
순이익률,9.78,15.26,5.04,-6.55,-3.23,4.09,3.64,4.56
ROE(%),4.87,9.03,3.02,-7.09,-4.39,6.1,5.44,7.0
ROA(%),3.32,6.23,1.85,-3.75,-2.19,3.06,2.8,3.65
부채비율,45.89,43.93,82.67,96.84,103.07,96.02,92.42,90.68
자본유보율,749.48,807.72,826.66,746.64,713.91,,,
EPS(원),2035.0,4076.0,1419.0,-3109.0,-1780.0,2500.0,2333.0,3167.0
PER(배),14.99,18.69,69.41,-10.84,-20.79,13.2,14.14,10.42
BPS(원),44270.0,48115.0,47504.0,41686.0,40852.0,42555.0,44759.0,47302.0
PBR(배),0.69,1.58,2.07,0.81,0.91,0.78,0.74,0.7
현금DPS(원),1000.0,1000.0,1000.0,,,0.0,0.0,500.0
현금배당수익률,3.28,1.31,1.02,,,0.0,0.0,1.52
현금배당성향(%),47.73,24.12,69.27,0.0,,,,0.16
발행주식수(보통주),6000000.0,6000000.0,6000131.0,6000131.0,6000131.0,,,
