주요재무정보,2013(GAAP개별),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1301.0,1749.0,2313.0,2764.0,3308.0,4794.0,4406.0,6450.0
영업이익,95.0,252.0,269.0,404.0,237.0,691.0,627.0,915.0
영업이익(발표기준),95.0,252.0,269.0,404.0,237.0,,,
세전계속사업이익,100.0,229.0,262.0,345.0,888.0,624.0,560.0,900.0
당기순이익,78.0,191.0,202.0,263.0,650.0,469.0,423.0,677.0
당기순이익(지배),78.0,191.0,203.0,272.0,543.0,467.0,441.0,661.0
당기순이익(비지배),,,-1.0,-9.0,107.0,,,
자산총계,2387.0,3868.0,7552.0,10214.0,9413.0,11040.0,11834.0,13700.0
부채총계,1411.0,2666.0,5010.0,7359.0,6827.0,8227.0,8690.0,9990.0
자본총계,976.0,1202.0,2542.0,2855.0,2586.0,2812.0,3146.0,3708.0
자본총계(지배),976.0,1202.0,1786.0,2108.0,2586.0,2812.0,3146.0,3708.0
자본총계(비지배),,,756.0,747.0,,,,
자본금,74.0,77.0,108.0,108.0,162.0,161.0,166.0,166.0
영업활동현금흐름,374.0,-471.0,-2261.0,-1433.0,-1575.0,278.0,713.0,786.0
투자활동현금흐름,-25.0,-922.0,-387.0,-870.0,1909.0,292.0,198.0,-72.0
재무활동현금흐름,-344.0,1280.0,3438.0,1941.0,-336.0,-31.0,-266.0,-214.0
CAPEX,10.0,808.0,25.0,2.0,246.0,110.0,104.0,168.0
FCF,364.0,-1279.0,-2286.0,-1435.0,-1820.0,35.0,431.0,1356.0
이자발생부채,847.0,2118.0,4447.0,4747.0,5334.0,,,
영업이익률,7.33,14.39,11.62,14.61,7.15,14.42,14.24,14.18
순이익률,5.97,10.94,8.71,9.53,19.65,9.78,9.6,10.5
ROE(%),8.27,,13.58,13.99,23.14,17.3,14.82,19.28
ROA(%),2.96,,3.53,2.96,6.62,4.58,3.7,5.3
부채비율,144.53,221.91,197.06,257.71,264.01,292.6,276.28,269.42
자본유보율,1220.24,1466.58,1543.18,1806.57,1479.65,,,
EPS(원),722.0,1776.0,1438.0,1686.0,3362.0,2891.0,2732.0,4090.0
PER(배),,,30.16,17.47,10.01,10.95,11.58,7.74
BPS(원),9075.0,10796.0,11055.0,13048.0,16008.0,17405.0,19472.0,22954.0
PBR(배),0.0,0.0,3.92,2.26,2.1,1.82,1.63,1.38
현금DPS(원),0.0,347.0,267.0,353.0,600.0,617.0,633.0,650.0
현금배당수익률,,,0.62,1.2,1.78,1.95,2.0,2.05
현금배당성향(%),14.45,20.86,21.23,20.96,17.85,0.21,0.23,0.16
발행주식수(보통주),10005000.0,10380000.0,16155000.0,16155000.0,16155000.0,,,
