주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1037.0,1054.0,1251.0,1422.0,1401.0,,,
영업이익,41.0,37.0,-25.0,101.0,75.0,,,
영업이익(발표기준),41.0,37.0,-25.0,101.0,75.0,,,
세전계속사업이익,11.0,7.0,-105.0,82.0,101.0,,,
당기순이익,2.0,0.0,-179.0,65.0,81.0,,,
당기순이익(지배),10.0,8.0,-161.0,67.0,78.0,,,
당기순이익(비지배),-8.0,-8.0,-17.0,-3.0,3.0,,,
자산총계,1924.0,1907.0,1994.0,2211.0,2351.0,,,
부채총계,1192.0,1175.0,1323.0,1264.0,1334.0,,,
자본총계,732.0,732.0,671.0,947.0,1017.0,,,
자본총계(지배),685.0,690.0,632.0,910.0,977.0,,,
자본총계(비지배),47.0,42.0,39.0,37.0,40.0,,,
자본금,85.0,88.0,91.0,116.0,120.0,,,
영업활동현금흐름,20.0,0.0,-55.0,56.0,80.0,,,
투자활동현금흐름,-55.0,-3.0,-8.0,-47.0,-276.0,,,
재무활동현금흐름,40.0,19.0,39.0,142.0,23.0,,,
CAPEX,47.0,29.0,36.0,93.0,216.0,,,
FCF,-27.0,-29.0,-91.0,-37.0,-136.0,,,
이자발생부채,912.0,874.0,916.0,837.0,872.0,,,
영업이익률,3.96,3.53,-1.98,7.07,5.33,,,
순이익률,0.19,-0.04,-14.28,4.55,5.8,,,
ROE(%),1.51,1.11,-24.41,8.75,8.28,,,
ROA(%),0.11,-0.02,-9.16,3.08,3.56,,,
부채비율,162.86,160.63,197.11,133.5,131.11,,,
자본유보율,701.93,552.2,327.81,473.22,509.84,,,
EPS(원),51.0,38.0,-800.0,304.0,318.0,,,
PER(배),34.63,56.05,-3.23,17.3,18.4,,,
BPS(원),3419.0,3444.0,3156.0,3728.0,4005.0,,,
PBR(배),0.52,0.61,0.82,1.41,1.46,,,
현금DPS(원),13.0,16.0,16.0,47.0,98.0,,,
현금배당수익률,0.77,0.74,0.63,0.9,1.67,,,
현금배당성향(%),26.31,41.08,-2.01,17.11,30.61,,,
발행주식수(보통주),20159098.0,20159098.0,20159098.0,24540000.0,24540000.0,,,
