주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,436.0,772.0,528.0,336.0,5.0,,,
영업이익,-22.0,27.0,73.0,77.0,-12.0,,,
영업이익(발표기준),,,73.0,77.0,-12.0,,,
세전계속사업이익,-20.0,29.0,88.0,69.0,-8.0,,,
당기순이익,-16.0,22.0,69.0,45.0,-9.0,,,
당기순이익(지배),,,69.0,45.0,-9.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1117.0,820.0,593.0,319.0,687.0,,,
부채총계,958.0,638.0,342.0,58.0,458.0,,,
자본총계,160.0,182.0,250.0,261.0,229.0,,,
자본총계(지배),,,250.0,261.0,229.0,,,
자본총계(비지배),,,,,,,,
자본금,181.0,181.0,181.0,181.0,181.0,,,
영업활동현금흐름,-291.0,387.0,14.0,293.0,-480.0,,,
투자활동현금흐름,-2.0,0.0,0.0,-50.0,-107.0,,,
재무활동현금흐름,292.0,-450.0,-211.0,-35.0,388.0,,,
CAPEX,,,0.0,0.0,107.0,,,
FCF,,,14.0,293.0,-588.0,,,
이자발생부채,660.0,210.0,0.0,,410.0,,,
영업이익률,-5.0,3.5,13.81,23.06,-241.74,,,
순이익률,-3.68,2.9,13.0,13.4,-172.38,,,
ROE(%),-9.55,13.13,31.75,17.59,-3.58,,,
ROA(%),-1.63,2.31,9.72,9.87,-1.74,,,
부채비율,599.81,350.49,136.72,22.2,199.56,,,
자본유보율,-12.0,0.34,38.58,43.76,26.38,,,
EPS(원),-436.0,610.0,1868.0,1224.0,-239.0,,,
PER(배),-9.29,8.99,2.86,4.71,-20.59,,,
BPS(원),4344.0,4952.0,6814.0,7103.0,6243.0,,,
PBR(배),0.93,1.11,0.78,0.81,0.79,,,
현금DPS(원),0.0,0.0,940.0,611.0,99.0,,,
현금배당수익률,0.0,0.0,17.62,10.61,2.01,,,
현금배당성향(%),0.0,0.0,45.68,49.93,-41.36,,,
발행주식수(보통주),3675909.0,3675909.0,3675909.0,3675909.0,3675909.0,,,
