주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,125.0,80.0,270.0,125.0,281.0,,,
영업이익,-29.0,-19.0,-6.0,-11.0,-27.0,,,
영업이익(발표기준),-29.0,-22.0,-6.0,-22.0,-27.0,,,
세전계속사업이익,0.0,-104.0,25.0,-10.0,-67.0,,,
당기순이익,0.0,-106.0,22.0,-18.0,-78.0,,,
당기순이익(지배),0.0,-106.0,22.0,-18.0,-77.0,,,
당기순이익(비지배),0.0,0.0,0.0,0.0,0.0,,,
자산총계,323.0,313.0,458.0,740.0,633.0,,,
부채총계,15.0,62.0,63.0,165.0,153.0,,,
자본총계,307.0,251.0,395.0,575.0,480.0,,,
자본총계(지배),307.0,250.0,395.0,575.0,480.0,,,
자본총계(비지배),1.0,1.0,0.0,0.0,0.0,,,
자본금,141.0,148.0,169.0,331.0,339.0,,,
영업활동현금흐름,-17.0,37.0,-81.0,-127.0,68.0,,,
투자활동현금흐름,-16.0,-119.0,83.0,-148.0,-98.0,,,
재무활동현금흐름,10.0,10.0,55.0,342.0,10.0,,,
CAPEX,0.0,0.0,0.0,0.0,0.0,,,
FCF,-17.0,36.0,-81.0,-128.0,68.0,,,
이자발생부채,,,20.0,98.0,104.0,,,
영업이익률,-23.3,-24.28,-2.06,-8.64,-9.76,,,
순이익률,0.0,-132.0,7.98,-14.38,-27.63,,,
ROE(%),-0.04,-37.89,6.75,-3.64,-14.67,,,
ROA(%),0.0,-33.23,5.6,-2.99,-11.31,,,
부채비율,5.0,24.81,15.89,28.76,31.89,,,
자본유보율,155.78,78.68,93.79,73.49,49.85,,,
EPS(원),0.0,-307.0,53.0,-37.0,-115.0,,,
PER(배),-995.56,-2.3,18.38,-27.1,-4.55,,,
BPS(원),896.0,694.0,965.0,867.0,709.0,,,
PBR(배),0.43,1.02,1.02,1.14,0.74,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),34251688.0,36056392.0,40942263.0,66257536.0,67730290.0,,,
