주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2714.0,2510.0,2213.0,2149.0,2294.0,2546.0,2709.0,2873.0
영업이익,108.0,142.0,117.0,96.0,89.0,107.0,117.0,126.0
영업이익(발표기준),108.0,142.0,117.0,96.0,89.0,,,
세전계속사업이익,166.0,229.0,165.0,159.0,138.0,172.0,182.0,191.0
당기순이익,129.0,185.0,138.0,132.0,106.0,130.0,137.0,145.0
당기순이익(지배),129.0,185.0,138.0,132.0,106.0,130.0,137.0,145.0
당기순이익(비지배),,,,,,,,
자산총계,4670.0,4815.0,4868.0,4926.0,4976.0,5062.0,5157.0,5258.0
부채총계,298.0,286.0,235.0,239.0,268.0,274.0,281.0,288.0
자본총계,4372.0,4529.0,4633.0,4686.0,4708.0,4788.0,4875.0,4970.0
자본총계(지배),4372.0,4529.0,4633.0,4686.0,4708.0,4788.0,4875.0,4970.0
자본총계(비지배),,,,,,,,
자본금,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
영업활동현금흐름,362.0,353.0,309.0,217.0,147.0,145.0,188.0,200.0
투자활동현금흐름,-197.0,-302.0,-444.0,-114.0,-148.0,-82.0,-73.0,-74.0
재무활동현금흐름,-34.0,-44.0,-39.0,-41.0,-39.0,-50.0,-50.0,-50.0
CAPEX,39.0,47.0,47.0,50.0,40.0,53.0,54.0,55.0
FCF,324.0,306.0,262.0,167.0,107.0,,,
이자발생부채,6.0,1.0,3.0,1.0,3.0,,,
영업이익률,4.0,5.68,5.28,4.49,3.89,4.2,4.32,4.39
순이익률,4.75,7.38,6.25,6.14,4.61,5.11,5.06,5.05
ROE(%),2.99,4.16,3.02,2.84,2.25,2.74,2.84,2.95
ROA(%),2.79,3.9,2.86,2.7,2.14,2.59,2.68,2.78
부채비율,6.82,6.31,5.07,5.11,5.68,5.72,5.76,5.79
자본유보율,4030.2,4167.6,4261.36,4341.28,4398.31,,,
EPS(원),644.0,925.0,691.0,660.0,529.0,650.0,685.0,725.0
PER(배),14.49,12.8,18.44,18.4,24.67,22.92,21.75,20.55
BPS(원),21858.0,22646.0,23164.0,23431.0,23542.0,23940.0,24375.0,24850.0
PBR(배),0.43,0.52,0.55,0.52,0.55,0.62,0.61,0.6
현금DPS(원),200.0,200.0,200.0,200.0,250.0,250.0,250.0,250.0
현금배당수익률,2.14,1.69,1.57,1.65,1.92,1.68,1.68,1.68
현금배당성향(%),31.04,21.61,28.93,30.29,47.26,0.38,0.36,0.34
발행주식수(보통주),20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,
