주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2900.0,2978.0,3103.0,2878.0,3200.0,,,
영업이익,147.0,89.0,150.0,62.0,-180.0,,,
영업이익(발표기준),147.0,89.0,150.0,14.0,-180.0,,,
세전계속사업이익,94.0,193.0,207.0,256.0,51.0,,,
당기순이익,89.0,184.0,193.0,144.0,25.0,,,
당기순이익(지배),94.0,215.0,228.0,189.0,36.0,,,
당기순이익(비지배),-4.0,-30.0,-35.0,-45.0,-11.0,,,
자산총계,7667.0,8133.0,8412.0,8543.0,8079.0,,,
부채총계,5023.0,5264.0,5228.0,5244.0,4765.0,,,
자본총계,2644.0,2869.0,3184.0,3299.0,3315.0,,,
자본총계(지배),2402.0,2587.0,2844.0,2986.0,2996.0,,,
자본총계(비지배),242.0,281.0,341.0,313.0,318.0,,,
자본금,243.0,243.0,243.0,243.0,243.0,,,
영업활동현금흐름,47.0,166.0,167.0,144.0,-22.0,,,
투자활동현금흐름,-482.0,-482.0,-175.0,-221.0,388.0,,,
재무활동현금흐름,431.0,238.0,41.0,52.0,-305.0,,,
CAPEX,155.0,174.0,162.0,238.0,264.0,,,
FCF,-108.0,-8.0,6.0,-93.0,-286.0,,,
이자발생부채,4279.0,4487.0,4393.0,4481.0,3977.0,,,
영업이익률,5.06,3.0,4.83,2.16,-5.63,,,
순이익률,3.08,6.19,6.21,5.01,0.79,,,
ROE(%),,8.6,8.4,6.48,1.21,,,
ROA(%),,2.33,2.33,1.7,0.31,,,
부채비율,190.0,183.51,164.17,158.95,143.75,,,
자본유보율,910.13,984.68,1075.48,1136.8,1140.77,,,
EPS(원),1930.0,4421.0,4699.0,3893.0,744.0,,,
PER(배),24.2,14.12,20.26,17.21,58.75,,,
BPS(원),50101.0,53991.0,58580.0,61520.0,61724.0,,,
PBR(배),0.93,1.16,1.63,1.09,0.71,,,
현금DPS(원),750.0,750.0,750.0,750.0,350.0,,,
현금배당수익률,1.61,1.2,0.79,1.12,0.8,,,
현금배당성향(%),38.39,16.75,15.96,19.26,26.08,,,
발행주식수(보통주),4854418.0,4854418.0,4854418.0,4854418.0,4854418.0,,,
