주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,7999.0,8679.0,8960.0,9694.0,10431.0,10453.0,10898.0,11314.0
영업이익,1448.0,1451.0,1046.0,1113.0,1253.0,1282.0,1369.0,1459.0
영업이익(발표기준),1448.0,1451.0,1046.0,1113.0,1253.0,,,
세전계속사업이익,2436.0,1647.0,1462.0,1741.0,1618.0,1820.0,1879.0,2023.0
당기순이익,1955.0,1255.0,1111.0,1295.0,1225.0,1366.0,1412.0,1515.0
당기순이익(지배),1955.0,1255.0,1111.0,1295.0,1225.0,1363.0,1415.0,1523.0
당기순이익(비지배),,,,,,,,
자산총계,14290.0,14325.0,16664.0,19030.0,18754.0,19944.0,21142.0,22468.0
부채총계,2739.0,2687.0,3095.0,4477.0,3310.0,3334.0,3323.0,3339.0
자본총계,11552.0,11638.0,13569.0,14553.0,15444.0,16610.0,17816.0,19127.0
자본총계(지배),11552.0,11638.0,13569.0,14553.0,15444.0,16589.0,17768.0,19032.0
자본총계(비지배),,,,,,,,
자본금,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
영업활동현금흐름,898.0,998.0,851.0,928.0,279.0,1187.0,1306.0,1351.0
투자활동현금흐름,-660.0,-692.0,-373.0,-1945.0,1227.0,-227.0,-462.0,-386.0
재무활동현금흐름,-183.0,-352.0,-170.0,718.0,-1258.0,-130.0,-157.0,-160.0
CAPEX,85.0,60.0,127.0,92.0,101.0,132.0,137.0,140.0
FCF,813.0,939.0,724.0,836.0,179.0,1100.0,1113.0,1177.0
이자발생부채,,,,960.0,,,,
영업이익률,18.1,16.72,11.67,11.48,12.02,12.26,12.56,12.89
순이익률,24.44,14.46,12.4,13.35,11.74,13.07,12.96,13.39
ROE(%),18.36,10.83,,9.21,8.16,8.51,8.24,8.28
ROA(%),14.29,8.77,,7.25,6.48,7.06,6.87,6.95
부채비율,23.71,23.09,22.81,30.76,21.43,20.07,18.65,17.46
자본유보율,1799.16,1830.16,2175.42,2360.69,2535.32,,,
EPS(원),16290.0,10462.0,9259.0,10788.0,10205.0,11358.0,11788.0,12692.0
PER(배),11.42,13.19,12.47,10.34,11.81,9.99,9.63,8.94
BPS(원),96266.0,98265.0,114563.0,123533.0,132142.0,141931.0,152020.0,162841.0
PBR(배),1.93,1.4,1.01,0.9,0.91,0.8,0.75,0.7
현금DPS(원),1100.0,1300.0,1500.0,1500.0,1700.0,1691.0,1736.0,1755.0
현금배당수익률,0.59,0.94,1.3,1.35,1.41,1.49,1.53,1.55
현금배당성향(%),6.75,12.26,15.99,13.67,16.22,0.15,0.15,0.14
발행주식수(보통주),12000000.0,12000000.0,12000000.0,12000000.0,12000000.0,,,
