주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1967.0,1885.0,2300.0,2511.0,3711.0,,,
영업이익,184.0,169.0,246.0,217.0,349.0,,,
영업이익(발표기준),184.0,169.0,246.0,217.0,349.0,,,
세전계속사업이익,244.0,224.0,228.0,209.0,356.0,,,
당기순이익,173.0,176.0,178.0,165.0,282.0,,,
당기순이익(지배),173.0,176.0,178.0,165.0,282.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2057.0,2162.0,2193.0,2625.0,3066.0,,,
부채총계,753.0,771.0,688.0,1028.0,1253.0,,,
자본총계,1304.0,1391.0,1505.0,1598.0,1813.0,,,
자본총계(지배),1304.0,1391.0,1505.0,1598.0,1813.0,,,
자본총계(비지배),,,,,,,,
자본금,105.0,105.0,105.0,105.0,105.0,,,
영업활동현금흐름,262.0,210.0,221.0,-68.0,413.0,,,
투자활동현금흐름,-50.0,-12.0,-83.0,-78.0,-462.0,,,
재무활동현금흐름,-218.0,-87.0,-179.0,104.0,175.0,,,
CAPEX,77.0,81.0,93.0,78.0,459.0,,,
FCF,185.0,130.0,128.0,-146.0,-46.0,,,
이자발생부채,337.0,308.0,199.0,365.0,618.0,,,
영업이익률,9.36,8.98,10.68,8.63,9.42,,,
순이익률,8.79,9.36,7.74,6.59,7.61,,,
ROE(%),13.93,13.09,12.29,10.66,16.56,,,
ROA(%),8.5,8.36,8.17,6.86,9.92,,,
부채비율,57.72,55.45,45.73,64.33,69.13,,,
자본유보율,1146.52,1231.25,1340.43,1428.6,1632.19,,,
EPS(원),824.0,840.0,848.0,787.0,1345.0,,,
PER(배),9.47,10.08,10.18,13.71,16.14,,,
BPS(원),6300.0,6720.0,7270.0,7718.0,8758.0,,,
PBR(배),1.24,1.26,1.19,1.4,2.48,,,
현금DPS(원),300.0,300.0,300.0,330.0,400.0,,,
현금배당수익률,3.85,3.54,3.48,3.06,1.84,,,
현금배당성향(%),35.9,35.2,34.89,41.31,29.32,,,
발행주식수(보통주),21000000.0,21000000.0,21000000.0,21000000.0,21000000.0,,,
