주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,,,,,3716.0,,,
영업이익,,,,,50.0,,,
영업이익(발표기준),,,,,50.0,,,
세전계속사업이익,,,,,33.0,,,
당기순이익,,,,,11.0,,,
당기순이익(지배),,,,,11.0,,,
당기순이익(비지배),,,,,,,,
자산총계,,,,,4137.0,,,
부채총계,,,,,2357.0,,,
자본총계,,,,,1780.0,,,
자본총계(지배),,,,,1780.0,,,
자본총계(비지배),,,,,,,,
자본금,,,,,53.0,,,
영업활동현금흐름,,,,,-42.0,,,
투자활동현금흐름,,,,,-76.0,,,
재무활동현금흐름,,,,,150.0,,,
CAPEX,,,,,40.0,,,
FCF,,,,,-82.0,,,
이자발생부채,,,,,618.0,,,
영업이익률,,,,,1.34,,,
순이익률,,,,,0.29,,,
ROE(%),,,,,,,,
ROA(%),,,,,,,,
부채비율,,,,,132.45,,,
자본유보율,,,,,3293.21,,,
EPS(원),,,,,124.0,,,
PER(배),,,,,358.38,,,
BPS(원),,,,,12107.0,,,
PBR(배),,,,,3.67,,,
현금DPS(원),,,,,50.0,,,
현금배당수익률,,,,,0.11,,,
현금배당성향(%),,,,,68.37,,,
발행주식수(보통주),,,,,14704872.0,,,
