주요재무정보,2014/03,2015/03,2016/03,2017/03,2018/03,2019/03(E),2020/03(E),2021/03(E)
매출액,837.0,937.0,1050.0,1090.0,1212.0,,,
영업이익,-18.0,9.0,1.0,-97.0,-66.0,,,
영업이익(발표기준),-18.0,9.0,1.0,-93.0,-66.0,,,
세전계속사업이익,-102.0,-18.0,-26.0,-232.0,-162.0,,,
당기순이익,-102.0,-18.0,-25.0,-253.0,-162.0,,,
당기순이익(지배),-96.0,-17.0,-30.0,-196.0,-139.0,,,
당기순이익(비지배),-7.0,0.0,5.0,-57.0,-23.0,,,
자산총계,1396.0,1488.0,1756.0,1659.0,1900.0,,,
부채총계,778.0,814.0,844.0,747.0,1101.0,,,
자본총계,618.0,674.0,913.0,912.0,799.0,,,
자본총계(지배),550.0,537.0,769.0,636.0,527.0,,,
자본총계(비지배),68.0,136.0,144.0,276.0,272.0,,,
자본금,501.0,502.0,776.0,805.0,816.0,,,
영업활동현금흐름,22.0,16.0,9.0,-51.0,-20.0,,,
투자활동현금흐름,-126.0,-80.0,-192.0,-51.0,-265.0,,,
재무활동현금흐름,96.0,66.0,255.0,208.0,339.0,,,
CAPEX,104.0,51.0,145.0,53.0,30.0,,,
FCF,-83.0,-35.0,-135.0,-104.0,-50.0,,,
이자발생부채,565.0,586.0,585.0,517.0,641.0,,,
영업이익률,-2.15,0.97,0.11,-8.94,-5.41,,,
순이익률,-12.21,-1.91,-2.4,-23.2,-13.37,,,
ROE(%),-17.4,-3.22,-4.61,-27.89,-23.85,,,
ROA(%),-7.41,-1.24,-1.55,-14.81,-9.11,,,
부채비율,125.77,120.88,92.4,81.89,137.77,,,
자본유보율,7.98,5.33,-2.18,-21.6,-35.94,,,
EPS(원),-91.0,-16.0,-21.0,-124.0,-85.0,,,
PER(배),-5.37,-39.25,-69.28,-9.76,-12.73,,,
BPS(원),491.0,479.0,495.0,395.0,323.0,,,
PBR(배),0.99,1.28,2.98,3.07,3.36,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),112004058.0,112079124.0,155299535.0,161060844.0,163146511.0,,,
