주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,564.0,504.0,480.0,460.0,907.0,,,
영업이익,-13.0,-17.0,-28.0,-89.0,-166.0,,,
영업이익(발표기준),-13.0,-17.0,-28.0,-89.0,-166.0,,,
세전계속사업이익,-88.0,-53.0,-55.0,-154.0,-180.0,,,
당기순이익,-90.0,-48.0,-56.0,-163.0,-182.0,,,
당기순이익(지배),-90.0,-48.0,-56.0,-163.0,-123.0,,,
당기순이익(비지배),,,,,-60.0,,,
자산총계,745.0,675.0,683.0,786.0,646.0,,,
부채총계,689.0,620.0,561.0,560.0,540.0,,,
자본총계,56.0,55.0,121.0,226.0,106.0,,,
자본총계(지배),56.0,55.0,121.0,130.0,60.0,,,
자본총계(비지배),,,,97.0,46.0,,,
자본금,67.0,99.0,189.0,321.0,45.0,,,
영업활동현금흐름,-15.0,-6.0,7.0,-39.0,-14.0,,,
투자활동현금흐름,82.0,0.0,-17.0,41.0,-41.0,,,
재무활동현금흐름,-67.0,3.0,33.0,40.0,4.0,,,
CAPEX,1.0,0.0,7.0,13.0,6.0,,,
FCF,-16.0,-6.0,0.0,-53.0,-19.0,,,
이자발생부채,516.0,477.0,388.0,324.0,238.0,,,
영업이익률,-2.35,-3.4,-5.87,-19.33,-18.31,,,
순이익률,-16.03,-9.59,-11.74,-35.53,-20.13,,,
ROE(%),-90.27,-87.64,-64.11,,-129.14,,,
ROA(%),-10.04,-6.8,-8.31,,-25.48,,,
부채비율,1240.36,1135.97,462.37,247.43,507.48,,,
자본유보율,414.71,228.87,90.79,2.43,377.28,,,
EPS(원),-5109.0,-2446.0,-1338.0,-3381.0,-1845.0,,,
PER(배),-0.94,-2.03,-18.34,-2.37,-1.9,,,
BPS(원),3138.0,2085.0,2667.0,2016.0,672.0,,,
PBR(배),1.53,2.38,9.2,3.97,5.21,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),1771300.0,2622500.0,4556751.0,6427586.0,8991545.0,,,
