주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1928.0,1991.0,2027.0,1975.0,1835.0,1740.0,1838.0,1930.0
영업이익,312.0,324.0,297.0,280.0,167.0,116.0,146.0,157.0
영업이익(발표기준),312.0,324.0,297.0,280.0,167.0,,,
세전계속사업이익,313.0,336.0,328.0,314.0,191.0,152.0,182.0,192.0
당기순이익,212.0,238.0,248.0,226.0,133.0,106.0,127.0,135.0
당기순이익(지배),212.0,238.0,248.0,226.0,133.0,106.0,127.0,135.0
당기순이익(비지배),,,,,,,,
자산총계,2028.0,2194.0,2460.0,2637.0,2666.0,2720.0,2843.0,2972.0
부채총계,465.0,428.0,482.0,496.0,470.0,446.0,471.0,494.0
자본총계,1563.0,1766.0,1978.0,2141.0,2196.0,2274.0,2372.0,2478.0
자본총계(지배),1563.0,1766.0,1978.0,2141.0,2196.0,2274.0,2372.0,2478.0
자본총계(비지배),,,,,,,,
자본금,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0
영업활동현금흐름,319.0,385.0,346.0,387.0,87.0,266.0,229.0,240.0
투자활동현금흐름,-251.0,-368.0,-253.0,-223.0,88.0,-179.0,-203.0,-134.0
재무활동현금흐름,-45.0,-73.0,-38.0,-38.0,-36.0,-29.0,-29.0,-29.0
CAPEX,90.0,138.0,112.0,90.0,155.0,200.0,150.0,80.0
FCF,229.0,247.0,234.0,297.0,-68.0,66.0,79.0,160.0
이자발생부채,36.0,1.0,1.0,1.0,1.0,,,
영업이익률,16.21,16.29,14.67,14.2,9.1,6.67,7.94,8.13
순이익률,11.01,11.97,12.22,11.42,7.23,6.09,6.91,7.0
ROE(%),14.51,14.32,13.24,10.95,6.12,4.74,5.47,5.57
ROA(%),11.07,11.29,10.65,8.85,5.0,3.94,4.57,4.64
부채비율,29.76,24.23,24.38,23.16,21.39,19.61,19.86,19.94
자본유보율,1518.75,1719.67,1928.0,2126.97,2228.9,,,
EPS(원),1105.0,1241.0,1291.0,1175.0,691.0,552.0,661.0,703.0
PER(배),8.21,8.86,6.58,7.08,10.85,9.55,7.97,7.5
BPS(원),8138.0,9198.0,10301.0,11153.0,11439.0,11844.0,12354.0,12906.0
PBR(배),1.12,1.2,0.82,0.75,0.66,0.44,0.43,0.41
현금DPS(원),200.0,200.0,200.0,190.0,150.0,150.0,150.0,150.0
현금배당수익률,2.2,1.82,2.36,2.28,2.0,2.85,2.85,2.85
현금배당성향(%),18.09,16.11,15.5,16.17,21.71,0.27,0.23,0.21
발행주식수(보통주),19200000.0,19200000.0,19200000.0,19200000.0,19200000.0,,,
