주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,497.0,545.0,560.0,580.0,584.0,,,
영업이익,38.0,53.0,55.0,13.0,-28.0,,,
영업이익(발표기준),38.0,53.0,55.0,13.0,-28.0,,,
세전계속사업이익,43.0,56.0,55.0,976.0,107.0,,,
당기순이익,35.0,46.0,33.0,750.0,93.0,,,
당기순이익(지배),35.0,46.0,33.0,750.0,93.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1020.0,1064.0,1076.0,1945.0,1856.0,,,
부채총계,130.0,155.0,179.0,340.0,242.0,,,
자본총계,889.0,909.0,897.0,1606.0,1614.0,,,
자본총계(지배),889.0,909.0,897.0,1606.0,1614.0,,,
자본총계(비지배),,,,,,,,
자본금,100.0,100.0,100.0,100.0,100.0,,,
영업활동현금흐름,15.0,-7.0,-8.0,-84.0,46.0,,,
투자활동현금흐름,45.0,-4.0,-8.0,717.0,-292.0,,,
재무활동현금흐름,-24.0,-26.0,-42.0,-39.0,-88.0,,,
CAPEX,6.0,3.0,4.0,151.0,233.0,,,
FCF,8.0,-10.0,-12.0,-235.0,-187.0,,,
이자발생부채,,,,,,,,
영업이익률,7.63,9.73,9.73,2.21,-4.72,,,
순이익률,7.03,8.48,5.83,129.35,15.89,,,
ROE(%),3.96,5.14,3.62,59.98,5.76,,,
ROA(%),3.43,4.44,3.05,49.69,4.88,,,
부채비율,14.63,17.04,19.93,21.15,15.0,,,
자본유보율,781.9,797.28,785.25,1492.8,1066.06,,,
EPS(원),174.0,231.0,163.0,3748.0,463.0,,,
PER(배),16.35,18.81,36.17,1.51,13.08,,,
BPS(원),4443.0,4541.0,4480.0,8019.0,8064.0,,,
PBR(배),0.64,0.96,1.32,0.71,0.75,,,
현금DPS(원),150.0,200.0,220.0,440.0,572.0,,,
현금배당수익률,5.26,4.6,3.73,7.77,9.44,,,
현금배당성향(%),86.04,86.59,134.88,11.74,123.49,,,
발행주식수(보통주),20020000.0,20020000.0,20020000.0,20020000.0,20020000.0,,,
