주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,6469.0,8609.0,8929.0,9113.0,8586.0,,,
영업이익,317.0,675.0,897.0,921.0,838.0,,,
영업이익(발표기준),317.0,675.0,897.0,921.0,838.0,,,
세전계속사업이익,93.0,293.0,540.0,963.0,869.0,,,
당기순이익,84.0,288.0,401.0,749.0,646.0,,,
당기순이익(지배),84.0,288.0,401.0,749.0,646.0,,,
당기순이익(비지배),,,,,,,,
자산총계,6800.0,6542.0,7068.0,7394.0,7718.0,,,
부채총계,5656.0,5118.0,5237.0,4811.0,4492.0,,,
자본총계,1144.0,1424.0,1832.0,2584.0,3226.0,,,
자본총계(지배),1144.0,1424.0,1832.0,2584.0,3226.0,,,
자본총계(비지배),,,,,,,,
자본금,759.0,759.0,759.0,759.0,759.0,,,
영업활동현금흐름,533.0,382.0,877.0,401.0,583.0,,,
투자활동현금흐름,172.0,56.0,-397.0,-225.0,1009.0,,,
재무활동현금흐름,25.0,-189.0,-306.0,-297.0,0.0,,,
CAPEX,2.0,2.0,2.0,5.0,2.0,,,
FCF,531.0,380.0,875.0,395.0,582.0,,,
이자발생부채,1943.0,1817.0,1762.0,1858.0,1858.0,,,
영업이익률,4.91,7.84,10.05,10.11,9.76,,,
순이익률,1.3,3.35,4.49,8.22,7.52,,,
ROE(%),10.82,22.45,24.61,33.93,22.24,,,
ROA(%),1.31,4.32,5.89,10.36,8.55,,,
부채비율,494.41,359.46,285.91,186.2,139.26,,,
자본유보율,47.84,84.63,137.48,236.45,320.72,,,
EPS(원),1556.0,1898.0,2639.0,4935.0,4256.0,,,
PER(배),4.24,6.93,5.89,3.42,3.52,,,
BPS(원),7537.0,9381.0,12066.0,17021.0,21251.0,,,
PBR(배),0.88,1.4,1.29,0.99,0.71,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),15179766.0,15179766.0,15179766.0,15179766.0,15179766.0,,,
