주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3736.0,3274.0,3575.0,3755.0,3738.0,,,
영업이익,116.0,13.0,53.0,34.0,108.0,,,
영업이익(발표기준),107.0,13.0,67.0,34.0,108.0,,,
세전계속사업이익,19.0,-1.0,48.0,48.0,6.0,,,
당기순이익,-15.0,-89.0,27.0,37.0,15.0,,,
당기순이익(지배),-15.0,-89.0,27.0,37.0,15.0,,,
당기순이익(비지배),,,,,,,,
자산총계,3368.0,3496.0,3418.0,3555.0,3537.0,,,
부채총계,1967.0,2207.0,2117.0,2228.0,2210.0,,,
자본총계,1401.0,1289.0,1302.0,1326.0,1327.0,,,
자본총계(지배),1401.0,1289.0,1302.0,1326.0,1327.0,,,
자본총계(비지배),,,,,,,,
자본금,327.0,327.0,327.0,327.0,327.0,,,
영업활동현금흐름,43.0,12.0,184.0,80.0,181.0,,,
투자활동현금흐름,-74.0,-186.0,-124.0,-265.0,-74.0,,,
재무활동현금흐름,72.0,189.0,-62.0,104.0,-103.0,,,
CAPEX,63.0,129.0,58.0,95.0,56.0,,,
FCF,-20.0,-117.0,125.0,-15.0,124.0,,,
이자발생부채,1186.0,1355.0,1298.0,1425.0,1324.0,,,
영업이익률,3.1,0.4,1.48,0.91,2.88,,,
순이익률,-0.39,-2.72,0.76,0.98,0.4,,,
ROE(%),-1.03,-6.61,2.09,2.8,1.13,,,
ROA(%),-0.43,-2.59,0.78,1.06,0.42,,,
부채비율,140.33,171.31,162.61,167.97,166.6,,,
자본유보율,330.5,296.45,298.18,306.21,306.27,,,
EPS(원),-22.0,-136.0,41.0,56.0,23.0,,,
PER(배),-36.13,-5.59,29.98,67.31,71.12,,,
BPS(원),2143.0,1971.0,1991.0,2029.0,2029.0,,,
PBR(배),0.38,0.39,0.62,1.87,0.8,,,
현금DPS(원),15.0,10.0,15.0,10.0,15.0,,,
현금배당수익률,1.87,1.32,1.21,0.26,0.92,,,
현금배당성향(%),-67.41,-5.53,36.27,17.76,65.45,,,
발행주식수(보통주),65388900.0,65388900.0,65388900.0,65388900.0,65388900.0,,,
