주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,36622.0,38961.0,40482.0,40343.0,47944.0,,,
영업이익,1970.0,2556.0,2876.0,2348.0,2746.0,,,
영업이익(발표기준),1970.0,2655.0,2876.0,2348.0,2746.0,,,
세전계속사업이익,1563.0,2355.0,2649.0,2031.0,2492.0,,,
당기순이익,232.0,1645.0,2071.0,1619.0,2111.0,,,
당기순이익(지배),-5.0,974.0,1159.0,901.0,1344.0,,,
당기순이익(비지배),236.0,671.0,911.0,718.0,767.0,,,
자산총계,39147.0,41411.0,51915.0,51779.0,52548.0,,,
부채총계,17322.0,18243.0,24038.0,22537.0,22088.0,,,
자본총계,21825.0,23167.0,27877.0,29241.0,30460.0,,,
자본총계(지배),13950.0,14865.0,15260.0,17185.0,18678.0,,,
자본총계(비지배),7875.0,8302.0,12617.0,12057.0,11782.0,,,
자본금,200.0,200.0,200.0,200.0,200.0,,,
영업활동현금흐름,2427.0,2946.0,5009.0,3825.0,2635.0,,,
투자활동현금흐름,-2321.0,-1058.0,-4807.0,-2236.0,-1628.0,,,
재무활동현금흐름,-647.0,652.0,-1639.0,-2216.0,-1473.0,,,
CAPEX,1643.0,945.0,1194.0,1974.0,1288.0,,,
FCF,785.0,2001.0,3815.0,1851.0,1347.0,,,
이자발생부채,12226.0,13112.0,14861.0,14623.0,13838.0,,,
영업이익률,5.38,6.56,7.1,5.82,5.73,,,
순이익률,0.63,4.22,5.12,4.01,4.4,,,
ROE(%),-0.03,6.76,7.7,5.55,7.5,,,
ROA(%),0.59,4.08,4.44,3.12,4.05,,,
부채비율,79.36,78.75,86.23,77.07,72.52,,,
자본유보율,6900.06,7334.96,7469.51,8458.34,9253.73,,,
EPS(원),-120.0,24345.0,28983.0,22514.0,33604.0,,,
PER(배),-787.1,6.65,4.52,5.73,4.52,,,
BPS(원),348828.0,371715.0,381583.0,429719.0,467055.0,,,
PBR(배),0.27,0.44,0.34,0.3,0.33,,,
현금DPS(원),1750.0,1800.0,1750.0,1750.0,2000.0,,,
현금배당수익률,1.85,1.11,1.34,1.36,1.32,,,
현금배당성향(%),-932.59,7.39,6.04,7.77,5.95,,,
발행주식수(보통주),4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,,
