주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2700.0,2911.0,3041.0,3404.0,3500.0,,,
영업이익,252.0,291.0,338.0,401.0,373.0,,,
영업이익(발표기준),252.0,291.0,338.0,401.0,373.0,,,
세전계속사업이익,164.0,247.0,276.0,337.0,310.0,,,
당기순이익,138.0,222.0,252.0,307.0,264.0,,,
당기순이익(지배),122.0,214.0,228.0,273.0,231.0,,,
당기순이익(비지배),16.0,8.0,24.0,34.0,33.0,,,
자산총계,4665.0,4912.0,5568.0,5859.0,5953.0,,,
부채총계,2483.0,2539.0,2937.0,2975.0,2944.0,,,
자본총계,2182.0,2373.0,2630.0,2884.0,3008.0,,,
자본총계(지배),1941.0,2130.0,2365.0,2589.0,2699.0,,,
자본총계(비지배),241.0,243.0,265.0,295.0,309.0,,,
자본금,61.0,61.0,61.0,61.0,61.0,,,
영업활동현금흐름,-66.0,237.0,262.0,530.0,457.0,,,
투자활동현금흐름,250.0,-285.0,-484.0,-431.0,-435.0,,,
재무활동현금흐름,-104.0,23.0,246.0,-68.0,-72.0,,,
CAPEX,273.0,318.0,368.0,366.0,466.0,,,
FCF,-339.0,-82.0,-106.0,164.0,-9.0,,,
이자발생부채,2143.0,2214.0,2526.0,2512.0,2456.0,,,
영업이익률,9.32,10.01,11.13,11.79,10.65,,,
순이익률,5.13,7.62,8.29,9.02,7.54,,,
ROE(%),6.59,10.49,10.16,11.02,8.73,,,
ROA(%),2.97,4.63,4.81,5.37,4.47,,,
부채비율,113.79,107.01,111.66,103.13,97.88,,,
자본유보율,3137.33,3433.36,3755.68,4128.58,4408.25,,,
EPS(원),1058.0,1846.0,1974.0,2360.0,1995.0,,,
PER(배),36.62,27.03,21.5,15.74,16.39,,,
BPS(원),16781.0,18410.0,20444.0,22378.0,23637.0,,,
PBR(배),2.31,2.71,2.08,1.66,1.38,,,
현금DPS(원),200.0,250.0,250.0,330.0,300.0,,,
현금배당수익률,0.52,0.5,0.59,0.89,0.92,,,
현금배당성향(%),18.9,13.54,12.66,13.98,14.86,,,
발행주식수(보통주),11569113.0,11569113.0,11569113.0,11569113.0,11569113.0,,,
