주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,863.0,5441.0,5925.0,8320.0,8844.0,9499.0,10214.0,11262.0
영업이익,75.0,539.0,427.0,612.0,778.0,836.0,852.0,843.0
영업이익(발표기준),75.0,539.0,427.0,612.0,778.0,,,
세전계속사업이익,60.0,485.0,151.0,568.0,746.0,764.0,846.0,858.0
당기순이익,44.0,352.0,-68.0,409.0,537.0,461.0,617.0,643.0
당기순이익(지배),44.0,352.0,-68.0,409.0,538.0,461.0,617.0,643.0
당기순이익(비지배),,,,,-1.0,,,
자산총계,5220.0,5738.0,5763.0,6417.0,6772.0,7019.0,7636.0,7700.0
부채총계,2238.0,2423.0,2617.0,2874.0,2739.0,2612.0,2688.0,2257.0
자본총계,2981.0,3314.0,3146.0,3542.0,4033.0,4406.0,4948.0,5443.0
자본총계(지배),2981.0,3314.0,3146.0,3542.0,4017.0,4406.0,4948.0,5443.0
자본총계(비지배),,,,,16.0,,,
자본금,235.0,235.0,235.0,235.0,235.0,241.0,241.0,235.0
영업활동현금흐름,100.0,646.0,73.0,578.0,817.0,764.0,932.0,661.0
투자활동현금흐름,-24.0,-258.0,-359.0,-434.0,-239.0,-344.0,-351.0,-416.0
재무활동현금흐름,-4.0,-28.0,-75.0,-56.0,-347.0,-279.0,-236.0,-434.0
CAPEX,19.0,187.0,322.0,379.0,198.0,325.0,350.0,400.0
FCF,81.0,459.0,-250.0,199.0,619.0,163.0,217.0,261.0
이자발생부채,1246.0,1246.0,1246.0,1246.0,1025.0,,,
영업이익률,8.73,9.91,7.21,7.36,8.79,8.8,8.34,7.49
순이익률,5.12,6.46,-1.14,4.92,6.08,4.85,6.04,5.71
ROE(%),,11.17,-2.1,12.24,,10.95,13.19,12.38
ROA(%),,6.42,-1.18,6.72,,6.69,8.42,8.39
부채비율,75.08,73.11,83.2,81.14,67.92,59.26,54.32,41.47
자본유보율,1168.4,1300.67,1236.75,1404.06,1604.47,,,
EPS(원),2863.0,3558.0,-686.0,4145.0,5446.0,4666.0,6245.0,6509.0
PER(배),22.75,17.53,-133.89,24.08,24.29,23.25,17.37,16.67
BPS(원),30193.0,33568.0,31858.0,35877.0,40684.0,44868.0,50381.0,55422.0
PBR(배),2.16,1.86,2.88,2.78,3.25,2.42,2.15,1.96
현금DPS(원),286.0,762.0,571.0,857.0,857.0,879.0,893.0,920.0
현금배당수익률,0.44,1.22,0.62,0.86,0.65,0.81,0.82,0.85
현금배당성향(%),63.87,21.4,-83.31,20.67,15.73,0.19,0.14,0.14
발행주식수(보통주),9879236.0,9879236.0,9879236.0,9879236.0,9879236.0,,,
